session,budget_year,expenditure_area,expenditure_area_name,actor,proposal_type,proposed_msek,approved_budget_msek,amendments_msek,outturn_msek,outturn_minus_proposal_msek,proposal_source_url,outturn_source_url
2016/17,2017,1,Rikets styrelse,C,party_motion,12923,13592.676,47.2,13654.491512609999,731.4915126099986,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,2,Samhällsekonomi och finansförvaltning,C,party_motion,14757,15009.626999999999,25.0,15004.768431769999,247.76843176999864,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,3,"Skatt, tull och exekution",C,party_motion,10880,10985.563999999998,38.0,11011.37116155,131.37116154999967,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,4,Rättsväsendet,C,party_motion,42982,42461.197,1408.0,44058.545762689995,1076.5457626899952,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,5,Internationell samverkan,C,party_motion,1901,1913.291,250.20000000000002,1953.3613348200001,52.36133482000014,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,6,Försvar och samhällets krisberedskap,C,party_motion,50249,50194.967000000004,485.0,50323.41789323999,74.41789323998819,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,7,Internationellt bistånd,C,party_motion,35490,34990.005,1784.554,36706.67201382999,1216.6720138299934,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,8,Migration,C,party_motion,32556,32580.319,6841.0,40033.513119949996,7477.513119949996,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,9,"Hälsovård, sjukvård och social omsorg",C,party_motion,63532,68496.16400000002,1948.0,67411.13500985001,3879.1350098500116,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,10,Ekonomisk trygghet vid sjukdom och funktionsnedsättning,C,party_motion,103097,107051.80500000001,120.0,101868.16484805,-1228.8351519499993,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,11,Ekonomisk trygghet vid ålderdom,C,party_motion,34355,34774.450999999994,0.0,34657.67373785,302.67373784999654,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,12,Ekonomisk trygghet för familjer och barn,C,party_motion,87227,89491.39799999999,-104.563,88659.9255322,1432.9255321999954,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,13,Jämställdhet och nyanlända invandrares etablering,C,party_motion,32781,26255.493000000002,22.0,18575.778093289995,-14205.221906710005,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,14,Arbetsmarknad och arbetsliv,C,party_motion,68395,82036.40100000003,60.5,76914.21546636001,8519.215466360009,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,15,Studiestöd,C,party_motion,21391,22433.998999999996,0.0,19670.73538058,-1720.2646194199988,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,16,Utbildning och universitetsforskning,C,party_motion,69657,72386.70700000001,676.45,71104.11209991004,1447.1120999100385,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,17,"Kultur, medier, trossamfund och fritid",C,party_motion,13919,14521.253999999999,0.0,14475.495515710001,556.4955157100012,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,18,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",C,party_motion,1231,6764.5599999999995,40.0,3802.6354355000003,2571.6354355000003,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,19,Regional tillväxt,C,party_motion,3575,3595.4809999999998,0.0,2808.29513749,-766.7048625100001,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,20,Allmän miljö- och naturvård,C,party_motion,6266,8403.539,509.0,7780.1020456,1514.1020455999997,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,21,Energi,C,party_motion,3021,2936.295,203.0,3051.663969999999,30.663969999999154,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,22,Kommunikationer,C,party_motion,54232,55039.651999999995,43.0,53223.35690792,-1008.6430920799976,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,23,"Areella näringar, landsbygd och livsmedel",C,party_motion,17259,17189.401,1052.5,17225.16740526,-33.832594740000786,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,24,Näringsliv,C,party_motion,6045,6456.0199999999995,400.0,6415.597453350001,370.59745335000116,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,25,Allmänna bidrag till kommuner,C,party_motion,105697,105554.92,11.236,105565.837046,-131.16295399999944,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,26,Statsskuldsräntor m.m.,C,party_motion,16468,16467.79,0.0,10568.71727342,-5899.282726580001,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,27,Avgiften till Europeiska unionen,C,party_motion,29586,29586.305,0.0,24224.47935722,-5361.52064278,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
