budget_year,expenditure_area,expenditure_area_name,appropriation_rows,approved_budget_msek,amendments_msek,outturn_msek,source_url
1997,1,Rikets styrelse,25,7169.535,-18.0,7343.0031249600015,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1997,2,Samhällsekonomi och finansförvaltning,36,11915.240999999998,500.0,10665.461764439997,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1997,3,"Skatt, tull och exekution",4,7012.843000000001,0.0,7005.76406309,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1997,4,Rättsväsendet,16,19524.275,18.0,19886.236177910003,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1997,5,Internationell samverkan,29,1089.8189999999997,2.0,821.77619771,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1997,6,Försvar och samhällets krisberedskap,41,42663.441,150.0,41282.85937388,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1997,7,Internationellt bistånd,11,11002.2,0.0,12139.27133703,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1997,8,Migration,13,2060.801,-40.0,2095.54817832,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1997,9,"Hälsovård, sjukvård och social omsorg",43,23713.940000000006,294.31999999999994,24210.104796040003,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1997,10,Ekonomisk trygghet vid sjukdom och funktionsnedsättning,6,35893.28200000001,0.0,35650.244718140006,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1997,11,Ekonomisk trygghet vid ålderdom,3,63975.0,0.0,63134.11752493,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1997,12,Ekonomisk trygghet för familjer och barn,7,41071.049999999996,613.55,38797.31771197,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1997,13,Integration och jämställdhet,10,7848.4800000000005,48.793,7129.60625987,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1997,14,Arbetsmarknad och arbetsliv,26,73895.85200000001,4921.448,77129.30701948,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1997,15,Studiestöd,9,17160.815,405.285,16280.724952630002,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1997,16,Utbildning och universitetsforskning,133,25096.778999999995,342.95,24840.759554439996,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1997,17,"Kultur, medier, trossamfund och fritid",82,7161.506,49.537000000000006,7179.320793059997,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1997,18,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",17,25634.819999999996,-22.0,22869.39910081,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1997,19,Regional utveckling,13,3718.09,-6.5,2933.4103992299997,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1997,20,"Klimat, miljö och natur",29,1467.257,34.855000000000004,1684.7842403299996,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1997,21,Energi,16,510.671,114.0,627.3382217299999,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1997,22,Kommunikationer,46,24652.323,204.5,24033.379506270005,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1997,23,"Areella näringar, landsbygd och livsmedel",59,13313.582999999999,284.22400000000005,10855.28111615,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1997,24,Näringsliv,47,2852.84,136.5,3078.6962166999992,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1997,25,Allmänna bidrag till kommuner,5,83612.0,4000.5,87330.474686,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1997,26,Statsskuldsräntor m.m.,2,104155.0,0.0,98366.88216862999,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1997,27,Avgiften till Europeiska unionen,4,20525.0,-472.0,20180.825266,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,1,Rikets styrelse,25,7393.04,11.497000000000002,7832.0992666,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,2,Samhällsekonomi och finansförvaltning,35,10166.606,-21.4,10039.270249090001,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,3,"Skatt, tull och exekution",4,6945.905000000001,24.148,7166.8088831000005,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,4,Rättsväsendet,16,19748.301000000007,86.43,20106.79121016,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,5,Internationell samverkan,27,1053.681,-0.5,830.5122756899999,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,6,Försvar och samhällets krisberedskap,36,41554.592000000004,99.80000000000004,42708.11854176,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,7,Internationellt bistånd,8,11434.4,0.0,11478.58285196,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,8,Migration,11,1748.234,92.0,1840.6443055400005,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,9,"Hälsovård, sjukvård och social omsorg",41,22491.769999999997,254.3,23115.093453280006,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,10,Ekonomisk trygghet vid sjukdom och funktionsnedsättning,6,37254.176,0.0,39744.865426120006,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,11,Ekonomisk trygghet vid ålderdom,3,62701.0,0.0,62683.99343584,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,12,Ekonomisk trygghet för familjer och barn,7,41733.161,0.0,41658.839342900006,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,13,Integration och jämställdhet,12,8617.627999999999,374.0,8543.447256129999,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,14,Arbetsmarknad och arbetsliv,22,75663.902,-4418.876,70747.59866464001,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
1998,15,Studiestöd,9,21587.679,22.400000000000006,22258.10894787,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
