session,budget_year,party,expenditure_area,expenditure_area_name,amount_msek,deviation_msek,budget_share_pct,speech_keyword_occurrences,speech_attention_pct,attention_minus_budget_pp,alignment_correlation,source_url
2016/17,2017,C,1,Rikets styrelse,12923,-345,1.3756,0,0.0,-1.3756,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,C,2,Samhällsekonomi och finansförvaltning,14757,-502,1.5708,1,0.8264,-0.7444,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,C,3,"Skatt, tull och exekution",10880,-106,1.1581,11,9.0909,7.9328,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,C,4,Rättsväsendet,42982,515,4.5751,1,0.8264,-3.7487,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,C,5,Internationell samverkan,1901,-12,0.2023,0,0.0,-0.2023,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,C,6,Försvar och samhällets krisberedskap,50249,-5,5.3486,4,3.3058,-2.0428,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,C,7,Internationellt bistånd,35490,500,3.7777,0,0.0,-3.7777,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,C,8,Migration,32556,-24,3.4654,6,4.9587,1.4933,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,C,9,"Hälsovård, sjukvård och social omsorg",63532,-4964,6.7625,11,9.0909,2.3284,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,C,10,Ekonomisk trygghet vid sjukdom och funktionsnedsättning,103097,-3955,10.9739,0,0.0,-10.9739,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,C,11,Ekonomisk trygghet vid ålderdom,34355,-419,3.6568,0,0.0,-3.6568,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,C,12,Ekonomisk trygghet för familjer och barn,87227,-2264,9.2847,0,0.0,-9.2847,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,C,13,Jämställdhet och nyanlända invandrares etablering,32781,146,3.4893,9,7.438,3.9487,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,C,14,Arbetsmarknad och arbetsliv,68395,-7262,7.2802,2,1.6529,-5.6273,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,C,15,Studiestöd,21391,-1043,2.2769,0,0.0,-2.2769,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,C,16,Utbildning och universitetsforskning,69657,-2724,7.4145,12,9.9174,2.5029,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,C,17,"Kultur, medier, trossamfund och fritid",13919,-602,1.4816,1,0.8264,-0.6552,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,C,18,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",1231,-5534,0.131,2,1.6529,1.5219,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,C,19,Regional tillväxt,3575,-20,0.3805,0,0.0,-0.3805,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,C,20,Allmän miljö- och naturvård,6266,-2138,0.667,21,17.3554,16.6884,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,C,21,Energi,3021,144,0.3216,5,4.1322,3.8106,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,C,22,Kommunikationer,54232,-883,5.7726,6,4.9587,-0.8139,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,C,23,"Areella näringar, landsbygd och livsmedel",17259,70,1.8371,0,0.0,-1.8371,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,C,24,Näringsliv,6045,-411,0.6434,24,19.8347,19.1913,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,C,25,Allmänna bidrag till kommuner,105697,142,11.2507,5,4.1322,-7.1185,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,C,26,Statsskuldsräntor m.m.,16468,0,1.7529,0,0.0,-1.7529,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,C,27,Avgiften till Europeiska unionen,29586,0,3.1492,0,0.0,-3.1492,-0.0975,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,1,Rikets styrelse,12864,-404,1.357,1,2.0833,0.7263,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,2,Samhällsekonomi och finansförvaltning,15089,-170,1.5917,0,0.0,-1.5917,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,3,"Skatt, tull och exekution",10939,-47,1.1539,4,8.3333,7.1794,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,4,Rättsväsendet,43076,609,4.544,4,8.3333,3.7893,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,5,Internationell samverkan,1913,0,0.2018,0,0.0,-0.2018,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,6,Försvar och samhällets krisberedskap,50294,40,5.3054,0,0.0,-5.3054,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,7,Internationellt bistånd,34990,0,3.691,0,0.0,-3.691,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,8,Migration,34586,2006,3.6484,0,0.0,-3.6484,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,9,"Hälsovård, sjukvård och social omsorg",73075,4579,7.7085,10,20.8333,13.1248,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,10,Ekonomisk trygghet vid sjukdom och funktionsnedsättning,104404,-2648,11.0133,0,0.0,-11.0133,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,11,Ekonomisk trygghet vid ålderdom,36072,1298,3.8052,18,37.5,33.6948,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,12,Ekonomisk trygghet för familjer och barn,92459,2968,9.7533,1,2.0833,-7.67,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,13,Jämställdhet och nyanlända invandrares etablering,31333,-1302,3.3052,1,2.0833,-1.2219,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,14,Arbetsmarknad och arbetsliv,69198,-6459,7.2995,0,0.0,-7.2995,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,15,Studiestöd,18954,-3480,1.9994,0,0.0,-1.9994,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,16,Utbildning och universitetsforskning,73025,644,7.7032,0,0.0,-7.7032,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,17,"Kultur, medier, trossamfund och fritid",13966,-555,1.4732,0,0.0,-1.4732,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,18,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",1161,-5604,0.1225,0,0.0,-0.1225,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,19,Regional tillväxt,3599,4,0.3797,0,0.0,-0.3797,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,20,Allmän miljö- och naturvård,5449,-2955,0.5748,0,0.0,-0.5748,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,21,Energi,2764,-113,0.2916,0,0.0,-0.2916,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,22,Kommunikationer,55467,352,5.8511,0,0.0,-5.8511,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,23,"Areella näringar, landsbygd och livsmedel",17241,52,1.8187,0,0.0,-1.8187,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,24,Näringsliv,5280,-1176,0.557,5,10.4167,9.8597,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,25,Allmänna bidrag till kommuner,94725,-10830,9.9923,4,8.3333,-1.659,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,26,Statsskuldsräntor m.m.,16468,0,1.7372,0,0.0,-1.7372,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,KD,27,Avgiften till Europeiska unionen,29586,0,3.121,0,0.0,-3.121,0.1396,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,1,Rikets styrelse,13242,-26,1.4026,0,0.0,-1.4026,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,2,Samhällsekonomi och finansförvaltning,15096,-163,1.599,1,1.6667,0.0677,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,3,"Skatt, tull och exekution",11005,19,1.1657,0,0.0,-1.1657,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,4,Rättsväsendet,43279,812,4.5842,0,0.0,-4.5842,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,5,Internationell samverkan,1913,0,0.2026,0,0.0,-0.2026,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,6,Försvar och samhällets krisberedskap,52221,1967,5.5313,1,1.6667,-3.8646,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,7,Internationellt bistånd,35454,464,3.7553,0,0.0,-3.7553,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,8,Migration,32111,-469,3.4012,3,5.0,1.5988,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,9,"Hälsovård, sjukvård och social omsorg",67974,-522,7.1999,7,11.6667,4.4668,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,10,Ekonomisk trygghet vid sjukdom och funktionsnedsättning,102095,-4957,10.814,1,1.6667,-9.1473,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,11,Ekonomisk trygghet vid ålderdom,35073,299,3.715,1,1.6667,-2.0483,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,12,Ekonomisk trygghet för familjer och barn,89496,5,9.4795,0,0.0,-9.4795,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,13,Jämställdhet och nyanlända invandrares etablering,33229,594,3.5197,15,25.0,21.4803,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,14,Arbetsmarknad och arbetsliv,69105,-6552,7.3197,8,13.3333,6.0136,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,15,Studiestöd,21153,-1281,2.2406,0,0.0,-2.2406,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,16,Utbildning och universitetsforskning,71744,-637,7.5992,11,18.3333,10.7341,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,17,"Kultur, medier, trossamfund och fritid",13923,-598,1.4747,0,0.0,-1.4747,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,18,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",1172,-5593,0.1241,0,0.0,-0.1241,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,19,Regional tillväxt,3507,-88,0.3715,0,0.0,-0.3715,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,20,Allmän miljö- och naturvård,6103,-2301,0.6464,0,0.0,-0.6464,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,21,Energi,2571,-306,0.2723,8,13.3333,13.061,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,22,Kommunikationer,54463,-652,5.7688,0,0.0,-5.7688,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,23,"Areella näringar, landsbygd och livsmedel",16978,-211,1.7983,0,0.0,-1.7983,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,24,Näringsliv,5514,-942,0.5841,0,0.0,-0.5841,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,25,Allmänna bidrag till kommuner,99621,-5934,10.552,4,6.6667,-3.8853,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,26,Statsskuldsräntor m.m.,16468,0,1.7443,0,0.0,-1.7443,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,L,27,Avgiften till Europeiska unionen,29586,0,3.1338,0,0.0,-3.1338,0.2913,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,1,Rikets styrelse,13070,-198,1.3736,0,0.0,-1.3736,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,M,2,Samhällsekonomi och finansförvaltning,15089,-170,1.5858,2,5.5556,3.9698,-0.0884,https://data.riksdagen.se/dokument/H401FiU1.html
