session,budget_year,expenditure_area,expenditure_area_name,actor,proposal_type,amount_msek,deviation_msek,budget_share_pct,document_id,source_url
2016/17,2017,1,Rikets styrelse,C,party_motion,12923,-345,1.3756,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,2,Samhällsekonomi och finansförvaltning,C,party_motion,14757,-502,1.5708,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,3,"Skatt, tull och exekution",C,party_motion,10880,-106,1.1581,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,4,Rättsväsendet,C,party_motion,42982,515,4.5751,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,5,Internationell samverkan,C,party_motion,1901,-12,0.2023,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,6,Försvar och samhällets krisberedskap,C,party_motion,50249,-5,5.3486,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,7,Internationellt bistånd,C,party_motion,35490,500,3.7777,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,8,Migration,C,party_motion,32556,-24,3.4654,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,9,"Hälsovård, sjukvård och social omsorg",C,party_motion,63532,-4964,6.7625,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,10,Ekonomisk trygghet vid sjukdom och funktionsnedsättning,C,party_motion,103097,-3955,10.9739,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,11,Ekonomisk trygghet vid ålderdom,C,party_motion,34355,-419,3.6568,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,12,Ekonomisk trygghet för familjer och barn,C,party_motion,87227,-2264,9.2847,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,13,Jämställdhet och nyanlända invandrares etablering,C,party_motion,32781,146,3.4893,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,14,Arbetsmarknad och arbetsliv,C,party_motion,68395,-7262,7.2802,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,15,Studiestöd,C,party_motion,21391,-1043,2.2769,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,16,Utbildning och universitetsforskning,C,party_motion,69657,-2724,7.4145,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,17,"Kultur, medier, trossamfund och fritid",C,party_motion,13919,-602,1.4816,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,18,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",C,party_motion,1231,-5534,0.131,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,19,Regional tillväxt,C,party_motion,3575,-20,0.3805,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,20,Allmän miljö- och naturvård,C,party_motion,6266,-2138,0.667,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,21,Energi,C,party_motion,3021,144,0.3216,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,22,Kommunikationer,C,party_motion,54232,-883,5.7726,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,23,"Areella näringar, landsbygd och livsmedel",C,party_motion,17259,70,1.8371,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,24,Näringsliv,C,party_motion,6045,-411,0.6434,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,25,Allmänna bidrag till kommuner,C,party_motion,105697,142,11.2507,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,26,Statsskuldsräntor m.m.,C,party_motion,16468,0,1.7529,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,27,Avgiften till Europeiska unionen,C,party_motion,29586,0,3.1492,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
