speech_id,session,speech_date,speaker,party,speech_url,sfs_document_id,document_title,snapshot_version,temporal_status,matched_phrase,provision_id,link_evidence,direction_eligible
GH09124-21,1993/94,1994-06-11,Harriet Colliander,NYD,https://data.riksdagen.se/anforande/GH09124-21/html,sfs-1982-80,Lag (1982:80) om anställningsskydd,t.o.m. SFS 2022:836,unverified_snapshot,lagen om anställningsskydd,,lexical_law_name_candidate,False
GR09121-49,2003/04,2004-05-25,Lars Ohly,V,https://data.riksdagen.se/anforande/GR09121-49/html,sfs-1982-80,Lag (1982:80) om anställningsskydd,t.o.m. SFS 2022:836,unverified_snapshot,lagen om anställningsskydd,,lexical_law_name_candidate,False
GT09142-49,2005/06,2006-06-15,Lars Ohly,V,https://data.riksdagen.se/anforande/GT09142-49/html,sfs-1982-80,Lag (1982:80) om anställningsskydd,t.o.m. SFS 2022:836,unverified_snapshot,lagen om anställningsskydd,,lexical_law_name_candidate,False
GV0911-18,2007/08,2007-10-17,Fredrik Reinfeldt,M,https://data.riksdagen.se/anforande/GV0911-18/html,sfs-1982-80,Lag (1982:80) om anställningsskydd,t.o.m. SFS 2022:836,unverified_snapshot,lagen om anställningsskydd,,lexical_law_name_candidate,False
GW09122-36,2008/09,2009-05-20,Mona Sahlin,S,https://data.riksdagen.se/anforande/GW09122-36/html,sfs-1982-80,Lag (1982:80) om anställningsskydd,t.o.m. SFS 2022:836,unverified_snapshot,lagen om anställningsskydd,,lexical_law_name_candidate,False
GW09134-15,2008/09,2009-06-17,Fredrik Reinfeldt,M,https://data.riksdagen.se/anforande/GW09134-15/html,sfs-1982-80,Lag (1982:80) om anställningsskydd,t.o.m. SFS 2022:836,unverified_snapshot,lagen om anställningsskydd,,lexical_law_name_candidate,False
GW09134-34,2008/09,2009-06-17,Mona Sahlin,S,https://data.riksdagen.se/anforande/GW09134-34/html,sfs-1982-80,Lag (1982:80) om anställningsskydd,t.o.m. SFS 2022:836,unverified_snapshot,lagen om anställningsskydd,,lexical_law_name_candidate,False
GZ0915-108,2011/12,2011-10-12,Lars Ohly,V,https://data.riksdagen.se/anforande/GZ0915-108/html,sfs-1982-80,Lag (1982:80) om anställningsskydd,t.o.m. SFS 2022:836,unverified_snapshot,lagen om anställningsskydd,,lexical_law_name_candidate,False
H00952-95,2012/13,2013-01-16,Jonas Sjöstedt,V,https://data.riksdagen.se/anforande/H00952-95/html,sfs-1982-80,Lag (1982:80) om anställningsskydd,t.o.m. SFS 2022:836,unverified_snapshot,lagen om anställningsskydd,,lexical_law_name_candidate,False
H109108-105,2013/14,2014-05-07,Jonas Sjöstedt,V,https://data.riksdagen.se/anforande/H109108-105/html,sfs-1982-80,Lag (1982:80) om anställningsskydd,t.o.m. SFS 2022:836,unverified_snapshot,lagen om anställningsskydd,,lexical_law_name_candidate,False
H109128-15,2013/14,2014-06-18,Jonas Sjöstedt,V,https://data.riksdagen.se/anforande/H109128-15/html,sfs-1982-80,Lag (1982:80) om anställningsskydd,t.o.m. SFS 2022:836,unverified_snapshot,lagen om anställningsskydd,,lexical_law_name_candidate,False
H509131-52,2017/18,2018-06-13,Stefan Löfven,S,https://data.riksdagen.se/anforande/H509131-52/html,sfs-1982-80,Lag (1982:80) om anställningsskydd,t.o.m. SFS 2022:836,unverified_snapshot,lagen om anställningsskydd,,lexical_law_name_candidate,False
H509131-54,2017/18,2018-06-13,Stefan Löfven,S,https://data.riksdagen.se/anforande/H509131-54/html,sfs-1982-80,Lag (1982:80) om anställningsskydd,t.o.m. SFS 2022:836,unverified_snapshot,lagen om anställningsskydd,,lexical_law_name_candidate,False
H60988-26,2018/19,2019-05-08,Jonas Sjöstedt,V,https://data.riksdagen.se/anforande/H60988-26/html,sfs-1982-80,Lag (1982:80) om anställningsskydd,t.o.m. SFS 2022:836,unverified_snapshot,lagen om anställningsskydd,,lexical_law_name_candidate,False
H609103-5,2018/19,2019-06-12,Jonas Sjöstedt,V,https://data.riksdagen.se/anforande/H609103-5/html,sfs-1982-80,Lag (1982:80) om anställningsskydd,t.o.m. SFS 2022:836,unverified_snapshot,lagen om anställningsskydd,,lexical_law_name_candidate,False
H709136-141,2019/20,2020-06-10,Jonas Sjöstedt,V,https://data.riksdagen.se/anforande/H709136-141/html,sfs-1982-80,Lag (1982:80) om anställningsskydd,t.o.m. SFS 2022:836,unverified_snapshot,lagen om anställningsskydd,,lexical_law_name_candidate,False
