session,session_year,party,topic_id,topic_label,segments,words,word_share_pct
1993/94,1993,C,-1,Ej grupperade,48,3585,49.5851
1993/94,1993,C,5,utsläppen / eu / kärnkraft,27,2102,29.0733
1993/94,1993,C,18,partier / ta / politiska,4,325,4.4952
1993/94,1993,C,23,partier / ta / ansvar,3,249,3.444
1993/94,1993,C,22,jobb / arbetslösheten / arbetsmarknaden,3,239,3.3057
1993/94,1993,C,15,jobb / arbetslösheten / arbetsmarknaden,2,166,2.296
1993/94,1993,C,6,migrationspolitik / flyktingar / invandring,2,159,2.1992
1993/94,1993,C,16,eu / europa / europeiska,3,158,2.1853
1993/94,1993,C,9,barn / barnen / föräldrar,1,75,1.0373
1993/94,1993,C,19,skatten / miljarder / skatt,1,73,1.0097
1993/94,1993,C,17,fn / afghanistan / fn s,1,73,1.0097
1993/94,1993,C,24,se / sveriges / världen,1,26,0.3596
1994/95,1994,C,-1,Ej grupperade,54,4117,48.3443
1994/95,1994,C,5,utsläppen / eu / kärnkraft,18,1348,15.829
1994/95,1994,C,18,partier / ta / politiska,12,849,9.9695
1994/95,1994,C,19,skatten / miljarder / skatt,7,563,6.6111
1994/95,1994,C,3,polisen / brott / poliser,5,408,4.791
1994/95,1994,C,15,jobb / arbetslösheten / arbetsmarknaden,5,367,4.3095
1994/95,1994,C,16,eu / europa / europeiska,4,307,3.605
1994/95,1994,C,2,kvinnor / män / kvinnors,2,165,1.9375
1994/95,1994,C,23,partier / ta / ansvar,2,147,1.7262
1994/95,1994,C,1,emu / folkomröstning / eu,1,86,1.0099
1994/95,1994,C,14,skatt / skatten / skatter,1,82,0.9629
1994/95,1994,C,9,barn / barnen / föräldrar,1,77,0.9042
1995/96,1995,C,-1,Ej grupperade,81,6106,50.5631
1995/96,1995,C,5,utsläppen / eu / kärnkraft,41,3038,25.1573
1995/96,1995,C,18,partier / ta / politiska,12,782,6.4757
1995/96,1995,C,23,partier / ta / ansvar,6,511,4.2315
1995/96,1995,C,15,jobb / arbetslösheten / arbetsmarknaden,5,401,3.3206
1995/96,1995,C,19,skatten / miljarder / skatt,4,304,2.5174
1995/96,1995,C,16,eu / europa / europeiska,3,178,1.474
1995/96,1995,C,1,emu / folkomröstning / eu,2,177,1.4657
1995/96,1995,C,21,nato / försvaret / militära,2,156,1.2918
1995/96,1995,C,10,perssons / går / lite,1,87,0.7204
1995/96,1995,C,11,euron / valuta / europa,1,80,0.6625
1995/96,1995,C,24,se / sveriges / världen,1,76,0.6293
1995/96,1995,C,6,migrationspolitik / flyktingar / invandring,1,75,0.6211
1995/96,1995,C,22,jobb / arbetslösheten / arbetsmarknaden,1,68,0.5631
1995/96,1995,C,9,barn / barnen / föräldrar,1,37,0.3064
1996/97,1996,C,-1,Ej grupperade,59,4434,48.4431
1996/97,1996,C,5,utsläppen / eu / kärnkraft,21,1423,15.5468
