party,word,occurrences,speeches_with_word,per_1000_words,frequency_ratio,common_rank,distinctive_rank
C,bredband,45,26,0.1233,25.8463,604,1
C,jobb,1045,366,2.8622,2.3087,1,143
C,företag,664,299,1.8187,3.4403,2,67
C,näringarna,26,22,0.0712,22.1373,1025,2
C,biodrivmedel,27,21,0.074,16.9798,978,3
C,går,476,313,1.3037,0.8276,3,1076
C,kvinnor,392,138,1.0737,2.2613,4,151
C,landsbygdens,29,24,0.0794,15.5162,926,4
C,ansvar,353,192,0.9668,1.3249,5,501
C,grönare,48,32,0.1315,12.5229,569,5
C,självbestämmande,38,27,0.1041,12.15,722,6
C,skapa,349,194,0.9559,2.5518,6,123
C,rut-avdraget,20,16,0.0548,11.645,1303,7
C,viktigt,345,239,0.9449,1.3786,7,461
C,inom,338,218,0.9258,1.3167,8,509
C,landsbygden,191,118,0.5231,10.9219,49,8
C,komma,328,223,0.8984,1.137,9,654
C,smalare,22,15,0.0603,10.3074,1185,9
C,annat,317,246,0.8682,1.0387,10,786
C,ungas,22,15,0.0603,10.3074,1197,10
C,centerpartiets,117,105,0.3205,9.8737,162,11
C,tar,314,223,0.86,1.0241,11,811
C,pengar,311,196,0.8518,1.2451,12,552
C,regionala,62,47,0.1698,8.6173,440,12
C,transportsektorn,25,20,0.0685,8.0474,1068,13
C,unga,307,131,0.8409,2.8711,13,94
C,förslag,303,219,0.8299,1.0413,14,784
C,värnamo,20,13,0.0548,7.8683,1324,14
C,hushållsnära,34,19,0.0931,7.7769,796,15
C,rätt,296,209,0.8107,0.943,15,938
C,dröm,26,14,0.0712,7.6803,1012,16
C,varför,295,198,0.808,1.0416,16,783
C,miljarder,277,159,0.7587,1.2659,17,534
C,småföretagen,57,46,0.1561,7.6315,473,17
C,innovationer,30,19,0.0822,7.5989,902,18
C,sveriges,276,187,0.7559,1.0175,18,828
C,fortsätta,269,173,0.7368,1.5927,19,323
C,klimatutsläppen,32,22,0.0876,7.5662,849,19
C,miljöteknik,24,22,0.0657,7.4028,1091,20
C,varje,269,176,0.7368,1.1765,20,611
C,arbete,263,167,0.7203,1.0216,21,817
C,bönder,40,32,0.1096,7.2804,671,21
C,företagarna,35,25,0.0959,7.1006,775,22
C,ger,262,177,0.7176,1.2323,22,563
C,europa,260,128,0.7121,0.9021,23,991
C,städerna,23,20,0.063,6.5437,1145,23
C,min,260,220,0.7121,1.0732,24,740
C,restaurangmomsen,26,19,0.0712,6.3785,1028,24
C,lite,248,183,0.6793,0.8081,25,1090
C,miljövänliga,22,16,0.0603,6.2653,1172,25
C,fått,240,179,0.6573,1.059,26,762
C,landsbygd,51,43,0.1397,5.7588,538,26
C,infrastrukturen,33,25,0.0904,5.597,823,27
C,olika,229,165,0.6272,0.8698,27,1027
C,handlingskraft,21,18,0.0575,5.5514,1225,28
C,möjlighet,228,168,0.6245,1.3838,28,451
C,företagen,225,147,0.6163,3.6104,29,64
C,orter,21,18,0.0575,5.5514,1245,29
C,förnybara,101,71,0.2766,5.4394,214,30
C,nej,220,143,0.6026,1.0014,30,849
C,tidigare,219,166,0.5998,1.0599,31,760
C,tillgänglighet,20,16,0.0548,5.1075,1314,31
C,starta,101,64,0.2766,5.0934,215,32
C,vid,219,160,0.5998,0.9541,32,923
C,arbetsmarknaden,214,129,0.5861,1.77,33,264
C,företagare,148,86,0.4054,4.893,96,33
C,ambitiösa,37,28,0.1013,4.8858,724,34
C,jobben,213,120,0.5834,1.7415,34,274
C,arbetsgivaravgifter,48,45,0.1315,4.8848,564,35
C,ingen,212,160,0.5807,0.8054,35,1094
C,grönt,42,35,0.115,4.6787,646,36
C,möjligheter,212,123,0.5807,1.8038,36,247
C,entreprenörer,36,27,0.0986,4.6698,754,37
C,tillsammans,212,156,0.5807,1.1549,37,636
C,enklare,62,52,0.1698,4.5989,434,38
C,välfärden,208,128,0.5697,1.1144,38,672
C,energieffektivisering,20,17,0.0548,4.4789,1270,39
C,nämligen,199,165,0.5451,1.2631,39,536
C,anställer,37,29,0.1013,4.3297,725,40
C,inför,198,153,0.5423,1.2413,40,556
C,gröna,197,118,0.5396,2.9431,41,89
C,småföretagare,53,43,0.1452,4.2925,522,41
C,första,196,143,0.5368,0.9816,42,879
C,jordbruket,28,24,0.0767,4.2604,952,42
C,företagandet,23,18,0.063,4.2244,1121,43
C,innebär,196,147,0.5368,1.082,43,726
C,ned,196,153,0.5368,0.7342,44,1173
C,trösklarna,20,18,0.0548,4.2192,1316,44
C,samarbete,196,127,0.5368,1.3371,45,494
C,öppenheten,20,20,0.0548,4.1004,1325,45
C,bort,195,151,0.5341,0.7926,46,1108
C,lokalt,32,19,0.0876,4.0844,852,46
C,alliansregering,32,20,0.0876,4.0134,842,47
C,krävs,194,115,0.5314,1.8451,47,235
C,friare,21,18,0.0575,3.9653,1214,48
C,stället,192,139,0.5259,0.7492,48,1155
C,välfärdssektorn,22,16,0.0603,3.9448,1201,49
C,anställa,162,105,0.4437,3.9314,80,50
C,behövs,190,126,0.5204,1.1129,50,677
