speaker,speaker_party,target,target_type,mentions,speeches,per_1000_words
Alf Svensson,KD,Göran Persson,person,254,65,2.5673
Göran Hägglund,KD,S,party,231,102,2.1519
Alf Svensson,KD,S,party,172,62,1.7385
Göran Hägglund,KD,Lars Ohly,person,136,70,1.2669
Göran Hägglund,KD,V,party,111,61,1.034
Göran Hägglund,KD,Mona Sahlin,person,95,51,0.885
Alf Svensson,KD,Ingvar Carlsson,person,93,22,0.94
Ebba Busch,KD,V,party,88,43,1.5419
Göran Hägglund,KD,MP,party,87,58,0.8105
Göran Hägglund,KD,Peter Eriksson,person,84,40,0.7825
Göran Hägglund,KD,Göran Persson,person,79,30,0.7359
Ebba Busch,KD,S,party,72,48,1.2615
Ebba Busch,KD,MP,party,64,41,1.1214
Ebba Busch,KD,C,party,61,33,1.0688
Ebba Busch,KD,Magdalena Andersson,person,59,39,1.0338
Göran Hägglund,KD,Jonas Sjöstedt,person,56,27,0.5217
Andreas Carlson,KD,Stefan Löfven,person,50,21,2.3834
Ebba Busch,KD,Nooshi Dadgostar,person,47,25,0.8235
Göran Hägglund,KD,Jimmie Åkesson,person,47,20,0.4378
Alf Svensson,KD,Olof Johansson,person,37,11,0.374
Andreas Carlson,KD,Jimmie Åkesson,person,37,19,1.7638
Göran Hägglund,KD,Mikael Damberg,person,36,19,0.3354
Alf Svensson,KD,Gudrun Schyman,person,35,16,0.3538
Alf Svensson,KD,V,party,35,20,0.3538
Andreas Carlson,KD,Jonas Sjöstedt,person,34,17,1.6207
Ebba Busch Thor,KD,Stefan Löfven,person,34,21,2.0365
Göran Hägglund,KD,SD,party,34,14,0.3167
Alf Svensson,KD,MP,party,33,25,0.3335
Ebba Busch Thor,KD,S,party,31,17,1.8568
Andreas Carlson,KD,SD,party,30,14,1.4301
Andreas Carlson,KD,MP,party,28,14,1.3347
Andreas Carlson,KD,Gustav Fridolin,person,25,13,1.1917
Göran Hägglund,KD,Stefan Löfven,person,24,13,0.2236
Ebba Busch Thor,KD,L,party,21,10,1.2579
Alf Svensson,KD,M,party,20,10,0.2021
Göran Hägglund,KD,Håkan Juholt,person,20,10,0.1863
Ebba Busch,KD,Stefan Löfven,person,19,10,0.3329
Alf Svensson,KD,Birger Schlaug,person,18,10,0.1819
Alf Svensson,KD,C,party,18,10,0.1819
Andreas Carlson,KD,V,party,18,14,0.858
Ebba Busch Thor,KD,C,party,18,8,1.0782
Andreas Carlson,KD,S,party,17,10,0.8104
Alf Svensson,KD,Maria Wetterstrand,person,16,8,0.1617
Andreas Carlson,KD,Isabella Lövin,person,15,8,0.715
Ebba Busch,KD,SD,party,15,9,0.2628
Göran Hägglund,KD,Gustav Fridolin,person,15,12,0.1397
Göran Hägglund,KD,Maria Wetterstrand,person,14,10,0.1304
Ebba Busch Thor,KD,Jonas Sjöstedt,person,13,11,0.7787
Göran Hägglund,KD,Jan Björklund,person,13,10,0.1211
Ebba Busch Thor,KD,MP,party,12,9,0.7188
Göran Hägglund,KD,Åsa Romson,person,11,7,0.1025
Ebba Busch,KD,L,party,10,7,0.1752
Ebba Busch Thor,KD,Annie Lööf,person,10,9,0.599
