session,session_year,party,topic_id,topic_label,segments,words,word_share_pct
1993/94,1993,KD,-1,Ej grupperade,54,4231,63.3573
1993/94,1993,KD,9,barn / barnen / föräldrar,7,512,7.667
1993/94,1993,KD,8,skolan / lärare / skola,5,383,5.7353
1993/94,1993,KD,6,migrationspolitik / flyktingar / invandring,4,306,4.5822
1993/94,1993,KD,23,partier / ta / ansvar,3,248,3.7137
1993/94,1993,KD,5,utsläppen / eu / kärnkraft,3,236,3.534
1993/94,1993,KD,13,äldre / äldreomsorgen / pensionärer,2,175,2.6205
1993/94,1993,KD,15,jobb / arbetslösheten / arbetsmarknaden,2,169,2.5307
1993/94,1993,KD,20,ryssland / ukraina / ryska,2,161,2.4109
1993/94,1993,KD,21,nato / försvaret / militära,1,91,1.3627
1993/94,1993,KD,12,vården / vård / sjukvården,1,86,1.2878
1993/94,1993,KD,16,eu / europa / europeiska,1,77,1.153
1993/94,1993,KD,7,sd / nej / ta,1,3,0.0449
1994/95,1994,KD,-1,Ej grupperade,68,5384,64.1411
1994/95,1994,KD,9,barn / barnen / föräldrar,20,1632,19.4425
1994/95,1994,KD,18,partier / ta / politiska,5,365,4.3483
1994/95,1994,KD,16,eu / europa / europeiska,4,337,4.0148
1994/95,1994,KD,3,polisen / brott / poliser,3,244,2.9068
1994/95,1994,KD,15,jobb / arbetslösheten / arbetsmarknaden,3,208,2.478
1994/95,1994,KD,5,utsläppen / eu / kärnkraft,2,120,1.4296
1994/95,1994,KD,6,migrationspolitik / flyktingar / invandring,1,75,0.8935
1994/95,1994,KD,7,sd / nej / ta,2,29,0.3455
1995/96,1995,KD,-1,Ej grupperade,99,7645,60.3537
1995/96,1995,KD,9,barn / barnen / föräldrar,10,767,6.0551
1995/96,1995,KD,15,jobb / arbetslösheten / arbetsmarknaden,9,712,5.6209
1995/96,1995,KD,18,partier / ta / politiska,8,632,4.9893
1995/96,1995,KD,10,perssons / går / lite,6,502,3.9631
1995/96,1995,KD,5,utsläppen / eu / kärnkraft,6,490,3.8683
1995/96,1995,KD,8,skolan / lärare / skola,5,322,2.542
1995/96,1995,KD,12,vården / vård / sjukvården,4,296,2.3368
1995/96,1995,KD,6,migrationspolitik / flyktingar / invandring,3,232,1.8315
1995/96,1995,KD,19,skatten / miljarder / skatt,3,220,1.7368
1995/96,1995,KD,13,äldre / äldreomsorgen / pensionärer,2,177,1.3973
1995/96,1995,KD,16,eu / europa / europeiska,2,169,1.3342
1995/96,1995,KD,22,jobb / arbetslösheten / arbetsmarknaden,2,160,1.2631
1995/96,1995,KD,2,kvinnor / män / kvinnors,1,85,0.671
1995/96,1995,KD,17,fn / afghanistan / fn s,1,83,0.6552
1995/96,1995,KD,23,partier / ta / ansvar,1,81,0.6395
1995/96,1995,KD,14,skatt / skatten / skatter,1,72,0.5684
1995/96,1995,KD,7,sd / nej / ta,1,22,0.1737
1996/97,1996,KD,-1,Ej grupperade,65,5085,57.5161
1996/97,1996,KD,10,perssons / går / lite,11,868,9.8179
1996/97,1996,KD,8,skolan / lärare / skola,9,724,8.1891
1996/97,1996,KD,12,vården / vård / sjukvården,6,481,5.4406
1996/97,1996,KD,18,partier / ta / politiska,5,418,4.728
1996/97,1996,KD,3,polisen / brott / poliser,4,320,3.6195
1996/97,1996,KD,15,jobb / arbetslösheten / arbetsmarknaden,4,297,3.3593
1996/97,1996,KD,5,utsläppen / eu / kärnkraft,2,170,1.9229
1996/97,1996,KD,13,äldre / äldreomsorgen / pensionärer,2,159,1.7984
1996/97,1996,KD,9,barn / barnen / föräldrar,2,154,1.7419
1996/97,1996,KD,1,emu / folkomröstning / eu,1,76,0.8596
1996/97,1996,KD,2,kvinnor / män / kvinnors,1,73,0.8257
1996/97,1996,KD,7,sd / nej / ta,2,16,0.181
1997/98,1997,KD,-1,Ej grupperade,66,5141,53.4296
1997/98,1997,KD,9,barn / barnen / föräldrar,11,879,9.1353
1997/98,1997,KD,8,skolan / lärare / skola,10,852,8.8547
1997/98,1997,KD,18,partier / ta / politiska,8,685,7.1191
1997/98,1997,KD,15,jobb / arbetslösheten / arbetsmarknaden,6,513,5.3315
1997/98,1997,KD,10,perssons / går / lite,5,445,4.6248
1997/98,1997,KD,12,vården / vård / sjukvården,5,425,4.417
1997/98,1997,KD,19,skatten / miljarder / skatt,3,238,2.4735
1997/98,1997,KD,5,utsläppen / eu / kärnkraft,2,162,1.6836
1997/98,1997,KD,13,äldre / äldreomsorgen / pensionärer,2,153,1.5901
1997/98,1997,KD,23,partier / ta / ansvar,1,85,0.8834
1997/98,1997,KD,24,se / sveriges / världen,1,31,0.3222
1997/98,1997,KD,7,sd / nej / ta,2,13,0.1351
1998/99,1998,KD,-1,Ej grupperade,87,6845,57.199
1998/99,1998,KD,10,perssons / går / lite,11,870,7.27
1998/99,1998,KD,9,barn / barnen / föräldrar,9,719,6.0082
1998/99,1998,KD,16,eu / europa / europeiska,8,556,4.6461
1998/99,1998,KD,19,skatten / miljarder / skatt,6,476,3.9776
1998/99,1998,KD,5,utsläppen / eu / kärnkraft,6,444,3.7102
1998/99,1998,KD,8,skolan / lärare / skola,5,408,3.4094
1998/99,1998,KD,18,partier / ta / politiska,6,325,2.7158
1998/99,1998,KD,13,äldre / äldreomsorgen / pensionärer,3,246,2.0557
1998/99,1998,KD,21,nato / försvaret / militära,3,236,1.9721
1998/99,1998,KD,12,vården / vård / sjukvården,3,218,1.8217
1998/99,1998,KD,6,migrationspolitik / flyktingar / invandring,2,167,1.3955
1998/99,1998,KD,2,kvinnor / män / kvinnors,1,86,0.7186
1998/99,1998,KD,22,jobb / arbetslösheten / arbetsmarknaden,1,76,0.6351
1998/99,1998,KD,14,skatt / skatten / skatter,1,74,0.6184
1998/99,1998,KD,24,se / sveriges / världen,1,70,0.5849
1998/99,1998,KD,15,jobb / arbetslösheten / arbetsmarknaden,1,69,0.5766
1998/99,1998,KD,23,partier / ta / ansvar,1,68,0.5682
1998/99,1998,KD,7,sd / nej / ta,4,14,0.117
1999/2000,1999,KD,-1,Ej grupperade,56,4339,45.9737
1999/2000,1999,KD,9,barn / barnen / föräldrar,18,1457,15.4376
1999/2000,1999,KD,8,skolan / lärare / skola,14,1072,11.3583
1999/2000,1999,KD,3,polisen / brott / poliser,5,388,4.111
1999/2000,1999,KD,10,perssons / går / lite,4,327,3.4647
1999/2000,1999,KD,13,äldre / äldreomsorgen / pensionärer,4,326,3.4541
1999/2000,1999,KD,15,jobb / arbetslösheten / arbetsmarknaden,3,245,2.5959
1999/2000,1999,KD,19,skatten / miljarder / skatt,4,241,2.5535
1999/2000,1999,KD,14,skatt / skatten / skatter,3,234,2.4793
1999/2000,1999,KD,1,emu / folkomröstning / eu,2,170,1.8012
1999/2000,1999,KD,2,kvinnor / män / kvinnors,2,149,1.5787
1999/2000,1999,KD,5,utsläppen / eu / kärnkraft,2,123,1.3032
1999/2000,1999,KD,18,partier / ta / politiska,1,95,1.0066
1999/2000,1999,KD,16,eu / europa / europeiska,1,89,0.943
1999/2000,1999,KD,6,migrationspolitik / flyktingar / invandring,1,85,0.9006
1999/2000,1999,KD,21,nato / försvaret / militära,1,84,0.89
1999/2000,1999,KD,7,sd / nej / ta,2,14,0.1483
2000/01,2000,KD,-1,Ej grupperade,85,6357,42.1524
2000/01,2000,KD,5,utsläppen / eu / kärnkraft,29,2183,14.4752
2000/01,2000,KD,16,eu / europa / europeiska,20,1376,9.1241
2000/01,2000,KD,9,barn / barnen / föräldrar,16,1257,8.335
2000/01,2000,KD,10,perssons / går / lite,13,1096,7.2674
2000/01,2000,KD,8,skolan / lärare / skola,9,696,4.6151
2000/01,2000,KD,13,äldre / äldreomsorgen / pensionärer,5,355,2.354
2000/01,2000,KD,2,kvinnor / män / kvinnors,4,311,2.0622
2000/01,2000,KD,12,vården / vård / sjukvården,3,244,1.6179
2000/01,2000,KD,1,emu / folkomröstning / eu,3,235,1.5583
2000/01,2000,KD,19,skatten / miljarder / skatt,3,228,1.5118
2000/01,2000,KD,14,skatt / skatten / skatter,2,159,1.0543
2000/01,2000,KD,21,nato / försvaret / militära,1,93,0.6167
2000/01,2000,KD,15,jobb / arbetslösheten / arbetsmarknaden,1,89,0.5901
2000/01,2000,KD,3,polisen / brott / poliser,1,83,0.5504
2000/01,2000,KD,17,fn / afghanistan / fn s,1,81,0.5371
2000/01,2000,KD,23,partier / ta / ansvar,1,78,0.5172
2000/01,2000,KD,18,partier / ta / politiska,1,78,0.5172
2000/01,2000,KD,24,se / sveriges / världen,1,74,0.4907
2000/01,2000,KD,7,sd / nej / ta,3,8,0.053
2001/02,2001,KD,-1,Ej grupperade,46,3378,39.8302
2001/02,2001,KD,9,barn / barnen / föräldrar,14,1104,13.0173
2001/02,2001,KD,12,vården / vård / sjukvården,12,972,11.4609
2001/02,2001,KD,10,perssons / går / lite,12,917,10.8124
2001/02,2001,KD,8,skolan / lärare / skola,11,776,9.1499
2001/02,2001,KD,18,partier / ta / politiska,4,328,3.8675
2001/02,2001,KD,17,fn / afghanistan / fn s,4,294,3.4666
2001/02,2001,KD,13,äldre / äldreomsorgen / pensionärer,3,250,2.9478
2001/02,2001,KD,3,polisen / brott / poliser,2,162,1.9102
2001/02,2001,KD,23,partier / ta / ansvar,2,127,1.4975
2001/02,2001,KD,16,eu / europa / europeiska,1,89,1.0494
2001/02,2001,KD,22,jobb / arbetslösheten / arbetsmarknaden,1,81,0.9551
2001/02,2001,KD,7,sd / nej / ta,1,3,0.0354
2002/03,2002,KD,-1,Ej grupperade,51,3961,42.3319
2002/03,2002,KD,5,utsläppen / eu / kärnkraft,12,866,9.2551
2002/03,2002,KD,8,skolan / lärare / skola,9,703,7.5131
2002/03,2002,KD,1,emu / folkomröstning / eu,8,629,6.7222
2002/03,2002,KD,9,barn / barnen / föräldrar,6,540,5.7711
2002/03,2002,KD,3,polisen / brott / poliser,6,456,4.8734
2002/03,2002,KD,2,kvinnor / män / kvinnors,5,395,4.2214
2002/03,2002,KD,7,sd / nej / ta,7,386,4.1253
2002/03,2002,KD,16,eu / europa / europeiska,4,275,2.939
2002/03,2002,KD,19,skatten / miljarder / skatt,3,235,2.5115
2002/03,2002,KD,12,vården / vård / sjukvården,3,227,2.426
2002/03,2002,KD,18,partier / ta / politiska,2,174,1.8596
2002/03,2002,KD,11,euron / valuta / europa,2,159,1.6993
2002/03,2002,KD,10,perssons / går / lite,2,109,1.1649
2002/03,2002,KD,13,äldre / äldreomsorgen / pensionärer,1,88,0.9405
2002/03,2002,KD,14,skatt / skatten / skatter,1,79,0.8443
2002/03,2002,KD,24,se / sveriges / världen,1,75,0.8015
2003/04,2003,KD,-1,Ej grupperade,76,5989,64.4602
2003/04,2003,KD,9,barn / barnen / föräldrar,13,1134,12.2054
2003/04,2003,KD,12,vården / vård / sjukvården,6,416,4.4775
2003/04,2003,KD,19,skatten / miljarder / skatt,4,330,3.5518
2003/04,2003,KD,16,eu / europa / europeiska,4,326,3.5088
2003/04,2003,KD,21,nato / försvaret / militära,3,267,2.8737
