party,word,occurrences,speeches_with_word,per_1000_words,frequency_ratio,common_rank,distinctive_rank
KD,barn,380,158,1.2085,1.8709,1,216
KD,fordras,40,29,0.1272,136.1698,546,1
KD,tidigare,287,215,0.9127,1.7231,2,250
KD,värdighetsgaranti,21,17,0.0668,72.2877,1119,2
KD,fordrar,21,12,0.0668,51.634,1082,3
KD,rätt,285,190,0.9063,1.0697,3,651
KD,annat,281,213,0.8936,1.0724,4,648
KD,kristdemokrater,240,135,0.7632,40.839,15,4
KD,etiska,26,17,0.0827,34.2687,870,5
KD,vård,281,141,0.8936,3.2659,5,88
KD,inom,280,172,0.8904,1.2518,6,486
KD,kristen,21,9,0.0668,32.858,1095,6
KD,erinra,21,19,0.0668,24.0959,1081,7
KD,vården,273,143,0.8682,3.3832,7,79
KD,etik,58,23,0.1844,22.8709,350,8
KD,komma,272,183,0.865,1.0868,8,624
KD,olika,265,174,0.8427,1.2145,9,522
KD,stryka,28,23,0.089,19.1646,829,9
KD,arbete,264,155,0.8396,1.2146,10,521
KD,tillstå,27,24,0.0859,18.4922,861,10
KD,ansvar,259,164,0.8237,1.0969,11,607
KD,ofantligt,22,17,0.07,18.0119,1048,11
KD,vid,255,169,0.8109,1.3444,12,417
KD,värdegrund,23,15,0.0731,15.8024,1022,12
KD,medmänniskor,30,20,0.0954,13.1471,761,13
KD,tar,247,178,0.7855,0.9256,13,821
KD,läkemedel,28,17,0.089,12.9491,817,14
KD,varje,243,154,0.7728,1.2386,14,498
KD,värdighet,54,35,0.1717,12.9043,397,15
KD,förslag,232,154,0.7378,0.913,16,845
KD,vårdpersonalen,21,15,0.0668,12.4634,1121,16
KD,ingen,231,151,0.7346,1.0493,17,669
KD,tillvaron,25,21,0.0795,12.2481,933,17
KD,förstås,151,89,0.4802,11.5243,56,18
KD,ned,227,154,0.7219,1.0229,18,700
KD,själva,226,154,0.7187,1.5925,19,296
KD,skatteintäkterna,24,19,0.0763,10.5608,966,19
KD,familjepolitiken,25,19,0.0795,10.4557,904,20
KD,stället,221,165,0.7028,1.0369,20,682
KD,bort,216,144,0.6869,1.0516,21,668
KD,småbarnsföräldrar,22,18,0.07,10.223,1057,21
KD,fått,204,153,0.6488,1.0427,22,677
KD,tillgängligheten,28,23,0.089,8.4055,831,22
KD,jobb,204,110,0.6488,0.4237,23,1170
KD,maxtaxan,20,11,0.0636,8.0146,1155,23
KD,enbart,140,75,0.4452,7.9527,65,24
KD,äldre,201,101,0.6392,3.6229,24,71
KD,hälso,30,22,0.0954,7.8883,756,25
KD,kronor,196,103,0.6233,1.3198,25,432
KD,miljarder,194,119,0.617,0.9972,26,728
KD,vårdköerna,89,56,0.283,7.7958,198,26
KD,patienter,64,51,0.2035,7.6902,315,27
KD,större,192,135,0.6106,1.3323,27,423
KD,människovärdet,31,27,0.0986,7.6746,734,28
KD,pengar,189,131,0.601,0.839,28,930
KD,familjerna,36,24,0.1145,7.5754,616,29
KD,talar,189,125,0.601,1.3313,29,424
KD,möjlighet,184,143,0.5851,1.2748,30,461
KD,vänstersidan,28,21,0.089,7.151,835,30
KD,problem,181,128,0.5756,0.8253,31,947
KD,respekten,25,20,0.0795,6.5951,927,31
KD,ideella,21,15,0.0668,6.5716,1090,32
KD,varför,181,130,0.5756,0.7168,32,1042
KD,första,178,138,0.5661,1.0423,33,678
KD,föräldrarnas,24,16,0.0763,6.5376,949,33
KD,lagom,23,9,0.0731,6.2708,992,34
KD,tala,176,122,0.5597,1.8148,34,226
KD,borde,175,109,0.5565,1.4484,35,373
KD,moral,25,18,0.0795,6.2128,920,35
KD,tillbaka,173,125,0.5502,1.1078,36,596
KD,utförare,28,18,0.089,6.0648,833,36
KD,viktigt,173,128,0.5502,0.7473,37,1017
KD,väntat,29,26,0.0922,5.975,801,37
KD,tillvaro,31,26,0.0986,5.8192,743,38
KD,ändå,170,139,0.5406,1.2435,38,492
KD,familjen,69,36,0.2194,5.7555,289,39
KD,sagt,165,129,0.5247,1.1754,39,548
KD,ringhals,21,9,0.0668,5.5606,1104,40
KD,vilja,164,130,0.5215,1.2519,40,485
KD,föräldrar,163,89,0.5184,3.5743,41,73
KD,föräldrarna,81,46,0.2576,5.5024,223,41
KD,partier,163,124,0.5184,1.1223,42,582
KD,patienten,24,17,0.0763,5.4916,962,42
KD,ger,160,117,0.5088,0.8356,43,935
KD,regel,29,25,0.0922,5.4497,787,43
KD,mammor,24,21,0.0763,5.349,959,44
KD,nej,160,114,0.5088,0.831,44,941
KD,själv,160,115,0.5088,1.3498,45,413
KD,ställda,33,20,0.1049,5.1667,696,45
KD,annan,158,128,0.5025,0.9602,46,775
KD,regionerna,31,20,0.0986,5.1413,740,46
KD,innebär,156,125,0.4961,0.9894,47,738
KD,resonera,25,21,0.0795,5.0433,926,47
KD,låt,155,104,0.4929,1.0545,48,663
KD,vårdköer,35,30,0.1113,5.0151,654,48
KD,människan,57,37,0.1813,4.8575,363,49
KD,resurser,154,101,0.4897,1.1427,49,566
KD,deras,153,102,0.4866,1.3308,50,425
KD,existerar,22,19,0.07,4.788,1035,50
