session,session_year,party,topic_id,topic_label,segments,words,word_share_pct
1993/94,1993,L,-1,Ej grupperade,61,4851,64.6111
1993/94,1993,L,14,vården / vård / sjukvården,7,604,8.0448
1993/94,1993,L,16,partier / politiska / valet,7,483,6.4331
1993/94,1993,L,24,partier / ansvar / folket,4,336,4.4752
1993/94,1993,L,21,jobb / arbetslösheten / arbetsmarknaden,4,334,4.4486
1993/94,1993,L,3,flyktingar / migrationspolitik / invandring,2,181,2.4108
1993/94,1993,L,0,kvinnor / män / kvinnors,3,180,2.3974
1993/94,1993,L,10,barn / föräldrar / barnen,2,157,2.0911
1993/94,1993,L,20,skatter / skatten / skatt,2,148,1.9712
1993/94,1993,L,15,äldre / äldreomsorgen / pensionärer,2,131,1.7448
1993/94,1993,L,6,perssons / åt / talar,1,87,1.1588
1993/94,1993,L,25,jobb / arbetslösheten / arbetsmarknaden,1,16,0.2131
1994/95,1994,L,-1,Ej grupperade,65,5187,57.8132
1994/95,1994,L,16,partier / politiska / valet,17,1281,14.2778
1994/95,1994,L,21,jobb / arbetslösheten / arbetsmarknaden,8,653,7.2782
1994/95,1994,L,9,kärnkraft / kärnkraften / el,5,319,3.5555
1994/95,1994,L,20,skatter / skatten / skatt,4,307,3.4218
1994/95,1994,L,18,eu / europa / europeiska,3,246,2.7419
1994/95,1994,L,3,flyktingar / migrationspolitik / invandring,3,215,2.3963
1994/95,1994,L,23,nato / försvaret / militära,2,160,1.7833
1994/95,1994,L,25,jobb / arbetslösheten / arbetsmarknaden,2,151,1.683
1994/95,1994,L,14,vården / vård / sjukvården,2,126,1.4044
1994/95,1994,L,17,skatt / skatten / skatter,1,88,0.9808
1994/95,1994,L,6,perssons / åt / talar,1,88,0.9808
1994/95,1994,L,12,skolan / lärare / eleverna,1,85,0.9474
1994/95,1994,L,24,partier / ansvar / folket,1,66,0.7356
1995/96,1995,L,-1,Ej grupperade,98,7632,60.6244
1995/96,1995,L,16,partier / politiska / valet,17,1399,11.1129
1995/96,1995,L,21,jobb / arbetslösheten / arbetsmarknaden,10,791,6.2833
1995/96,1995,L,9,kärnkraft / kärnkraften / el,9,723,5.7431
1995/96,1995,L,24,partier / ansvar / folket,5,371,2.947
1995/96,1995,L,25,jobb / arbetslösheten / arbetsmarknaden,5,333,2.6452
1995/96,1995,L,6,perssons / åt / talar,4,263,2.0891
1995/96,1995,L,3,flyktingar / migrationspolitik / invandring,3,244,1.9382
1995/96,1995,L,20,skatter / skatten / skatt,2,175,1.3901
1995/96,1995,L,17,skatt / skatten / skatter,2,154,1.2233
1995/96,1995,L,14,vården / vård / sjukvården,2,154,1.2233
1995/96,1995,L,19,fn / afghanistan / usa,2,132,1.0485
1995/96,1995,L,7,eu / utsläppen / utsläpp,1,92,0.7308
1995/96,1995,L,18,eu / europa / europeiska,1,81,0.6434
1995/96,1995,L,8,skatteväxling / gröna / grön skatteväxling,1,45,0.3575
1996/97,1996,L,-1,Ej grupperade,79,6077,64.4296
1996/97,1996,L,21,jobb / arbetslösheten / arbetsmarknaden,11,831,8.8104
1996/97,1996,L,16,partier / politiska / valet,7,442,4.6862
1996/97,1996,L,25,jobb / arbetslösheten / arbetsmarknaden,5,414,4.3893
1996/97,1996,L,6,perssons / åt / talar,6,362,3.838
1996/97,1996,L,14,vården / vård / sjukvården,3,217,2.3007
1996/97,1996,L,0,kvinnor / män / kvinnors,2,159,1.6858
1996/97,1996,L,20,skatter / skatten / skatt,2,156,1.6539
1996/97,1996,L,24,partier / ansvar / folket,3,154,1.6327
1996/97,1996,L,9,kärnkraft / kärnkraften / el,2,110,1.1662
1996/97,1996,L,17,skatt / skatten / skatter,1,88,0.933
1996/97,1996,L,1,polisen / poliser / brott,1,88,0.933
1996/97,1996,L,23,nato / försvaret / militära,1,87,0.9224
1996/97,1996,L,12,skolan / lärare / eleverna,1,86,0.9118
1996/97,1996,L,10,barn / föräldrar / barnen,1,77,0.8164
1996/97,1996,L,15,äldre / äldreomsorgen / pensionärer,1,75,0.7952
1996/97,1996,L,8,skatteväxling / gröna / grön skatteväxling,1,9,0.0954
1997/98,1997,L,-1,Ej grupperade,77,5835,65.7835
1997/98,1997,L,14,vården / vård / sjukvården,7,563,6.3472
1997/98,1997,L,21,jobb / arbetslösheten / arbetsmarknaden,7,544,6.133
1997/98,1997,L,16,partier / politiska / valet,7,522,5.885
1997/98,1997,L,6,perssons / åt / talar,6,457,5.1522
1997/98,1997,L,12,skolan / lärare / eleverna,4,333,3.7542
1997/98,1997,L,25,jobb / arbetslösheten / arbetsmarknaden,4,308,3.4724
1997/98,1997,L,13,skolan / skola / elever,2,172,1.9391
1997/98,1997,L,9,kärnkraft / kärnkraften / el,1,81,0.9132
1997/98,1997,L,10,barn / föräldrar / barnen,1,40,0.451
1997/98,1997,L,20,skatter / skatten / skatt,1,15,0.1691
1998/99,1998,L,-1,Ej grupperade,74,5808,50.6012
1998/99,1998,L,18,eu / europa / europeiska,22,1740,15.1594
1998/99,1998,L,6,perssons / åt / talar,12,992,8.6426
1998/99,1998,L,16,partier / politiska / valet,10,766,6.6736
1998/99,1998,L,7,eu / utsläppen / utsläpp,6,453,3.9467
1998/99,1998,L,14,vården / vård / sjukvården,4,278,2.422
1998/99,1998,L,13,skolan / skola / elever,3,267,2.3262
1998/99,1998,L,24,partier / ansvar / folket,3,267,2.3262
1998/99,1998,L,3,flyktingar / migrationspolitik / invandring,3,199,1.7338
1998/99,1998,L,15,äldre / äldreomsorgen / pensionärer,2,169,1.4724
1998/99,1998,L,25,jobb / arbetslösheten / arbetsmarknaden,2,163,1.4201
1998/99,1998,L,0,kvinnor / män / kvinnors,2,124,1.0803
1998/99,1998,L,11,euron / valuta / europa,1,87,0.758
1998/99,1998,L,20,skatter / skatten / skatt,1,78,0.6796
1998/99,1998,L,12,skolan / lärare / eleverna,1,53,0.4618
1998/99,1998,L,21,jobb / arbetslösheten / arbetsmarknaden,1,34,0.2962
1999/2000,1999,L,-1,Ej grupperade,64,4674,61.9155
1999/2000,1999,L,0,kvinnor / män / kvinnors,12,833,11.0346
1999/2000,1999,L,16,partier / politiska / valet,11,792,10.4915
1999/2000,1999,L,6,perssons / åt / talar,4,309,4.0933
1999/2000,1999,L,13,skolan / skola / elever,3,266,3.5236
1999/2000,1999,L,14,vården / vård / sjukvården,3,246,3.2587
1999/2000,1999,L,12,skolan / lärare / eleverna,1,81,1.073
1999/2000,1999,L,22,ryssland / ukraina / ryska,1,80,1.0597
1999/2000,1999,L,7,eu / utsläppen / utsläpp,1,80,1.0597
1999/2000,1999,L,18,eu / europa / europeiska,1,77,1.02
1999/2000,1999,L,15,äldre / äldreomsorgen / pensionärer,1,73,0.967
1999/2000,1999,L,23,nato / försvaret / militära,1,38,0.5034
2000/01,2000,L,-1,Ej grupperade,127,9117,54.7765
2000/01,2000,L,18,eu / europa / europeiska,19,1578,9.4809
2000/01,2000,L,16,partier / politiska / valet,13,1061,6.3747
2000/01,2000,L,13,skolan / skola / elever,11,914,5.4915
2000/01,2000,L,12,skolan / lärare / eleverna,10,788,4.7344
2000/01,2000,L,25,jobb / arbetslösheten / arbetsmarknaden,7,565,3.3946
2000/01,2000,L,6,perssons / åt / talar,6,482,2.8959
2000/01,2000,L,3,flyktingar / migrationspolitik / invandring,5,388,2.3312
2000/01,2000,L,21,jobb / arbetslösheten / arbetsmarknaden,4,313,1.8806
2000/01,2000,L,0,kvinnor / män / kvinnors,4,290,1.7424
2000/01,2000,L,15,äldre / äldreomsorgen / pensionärer,3,257,1.5441
2000/01,2000,L,14,vården / vård / sjukvården,3,256,1.5381
2000/01,2000,L,7,eu / utsläppen / utsläpp,3,211,1.2677
2000/01,2000,L,8,skatteväxling / gröna / grön skatteväxling,2,175,1.0514
2000/01,2000,L,24,partier / ansvar / folket,3,173,1.0394
2000/01,2000,L,17,skatt / skatten / skatter,1,76,0.4566
2001/02,2001,L,-1,Ej grupperade,71,5357,59.6415
2001/02,2001,L,13,skolan / skola / elever,9,681,7.5818
2001/02,2001,L,12,skolan / lärare / eleverna,7,530,5.9007
2001/02,2001,L,16,partier / politiska / valet,6,507,5.6446
2001/02,2001,L,0,kvinnor / män / kvinnors,5,403,4.4868
2001/02,2001,L,19,fn / afghanistan / usa,5,297,3.3066
2001/02,2001,L,3,flyktingar / migrationspolitik / invandring,3,246,2.7388
2001/02,2001,L,10,barn / föräldrar / barnen,3,237,2.6386
2001/02,2001,L,14,vården / vård / sjukvården,4,233,2.5941
2001/02,2001,L,21,jobb / arbetslösheten / arbetsmarknaden,1,89,0.9909
2001/02,2001,L,23,nato / försvaret / militära,1,84,0.9352
