party,word,occurrences,speeches_with_word,per_1000_words,frequency_ratio,common_rank,distinctive_rank
L,skolan,587,237,1.6902,2.5399,1,126
L,underkända,32,20,0.0921,162.8457,813,1
L,går,577,345,1.6614,1.0885,2,683
L,kunskapsskola,25,22,0.072,42.5904,1011,2
L,elektricitet,31,25,0.0893,31.567,823,3
L,europa,548,224,1.5779,2.339,3,154
L,jobb,490,223,1.4109,0.9777,4,817
L,liberaler,122,87,0.3513,29.2287,113,4
L,lågutbildade,24,17,0.0691,28.3294,1044,5
L,problem,311,190,0.8955,1.3624,5,435
L,kunskapskrav,20,12,0.0576,23.7042,1247,6
L,rätt,290,206,0.835,0.9754,6,820
L,huvuddelen,32,28,0.0921,23.2637,800,7
L,varför,274,195,0.7889,1.0136,7,765
L,annat,270,219,0.7774,0.9168,8,907
L,globaliseringens,22,10,0.0633,22.5479,1132,8
L,komma,270,200,0.7774,0.9638,9,834
L,årskurs,38,24,0.1094,18.6687,670,9
L,eurosamarbetet,43,30,0.1238,15.9485,580,10
L,olika,265,180,0.763,1.086,10,685
L,utbildningspolitiken,21,17,0.0605,15.3898,1212,11
L,viktigt,265,181,0.763,1.0731,11,698
L,ingen,264,216,0.7602,1.0914,12,678
L,läraryrket,22,18,0.0633,14.7051,1145,12
L,lite,262,204,0.7544,0.9094,13,919
L,yrkesutbildningar,22,16,0.0633,14.7051,1163,13
L,akademiker,29,14,0.0835,14.3046,863,14
L,nej,260,147,0.7486,1.2851,14,489
L,skolminister,26,21,0.0749,11.3813,982,15
L,världen,257,146,0.74,1.447,15,387
L,tar,247,186,0.7112,0.8277,16,1017
L,utbildningspolitik,31,24,0.0893,11.0117,839,16
L,emot,246,183,0.7083,1.5694,17,331
L,skolverket,23,16,0.0662,10.7045,1107,17
L,liberalismen,23,16,0.0662,10.0929,1090,18
L,sveriges,233,162,0.6709,0.8897,18,940
L,ned,229,179,0.6594,0.9236,19,891
L,skolpolitiken,39,33,0.1123,10.0637,647,19
L,betygen,28,20,0.0806,9.963,894,20
L,varje,228,169,0.6565,1.0299,20,743
L,friskolor,75,35,0.216,9.537,289,21
L,inom,226,152,0.6507,0.8786,21,951
L,liberal,69,53,0.1987,8.4936,330,22
L,själva,219,162,0.6306,1.3719,22,425
L,barn,218,123,0.6277,0.8775,23,955
L,västvärlden,41,29,0.1181,8.3177,622,23
L,min,217,187,0.6248,0.9254,24,887
L,årtionden,45,43,0.1296,8.2404,558,24
L,gymnasieskola,23,20,0.0662,8.2151,1084,25
L,vid,216,158,0.6219,0.9943,25,793
L,samarbete,213,130,0.6133,1.5632,26,335
L,speciallärare,23,16,0.0662,8.2151,1108,26
L,stor,213,163,0.6133,1.2207,27,546
L,östros,21,12,0.0605,7.8826,1217,27
L,ansvar,208,139,0.5989,0.7684,28,1084
L,gymnasiet,91,55,0.262,7.1265,210,28
L,fel,206,135,0.5932,1.3026,29,479
L,liberalernas,35,35,0.1008,7.1151,715,29
L,förslag,206,132,0.5932,0.7164,30,1138
L,programmet,30,14,0.0864,7.0534,856,30
L,klassrummet,33,26,0.095,6.8982,776,31
L,tidigare,206,159,0.5932,1.0462,31,726
L,behövs,204,143,0.5874,1.2792,32,491
L,stängas,20,16,0.0576,6.8479,1270,32
L,europeiska,201,114,0.5788,1.72,33,266
L,prov,35,28,0.1008,6.7548,722,33
L,arbete,199,130,0.573,0.791,34,1060
L,betyg,125,66,0.3599,6.6661,107,34
L,fått,198,144,0.5701,0.9017,35,929
L,sjunkit,34,31,0.0979,6.5646,752,35
L,globaliseringen,32,18,0.0921,6.5138,796,36
L,sagt,197,150,0.5672,1.2891,36,485
L,eleverna,104,54,0.2995,6.2583,170,37
L,skola,197,133,0.5672,1.5032,37,360
L,företag,196,119,0.5644,0.8029,38,1047
L,skolpolitik,58,43,0.167,6.2366,403,38
L,liberala,133,89,0.383,6.0996,98,39
L,valet,195,119,0.5615,1.4342,39,393
L,förväntningar,36,18,0.1037,5.8996,698,40
L,ligger,190,131,0.5471,1.3721,40,424
L,liberalt,23,20,0.0662,5.791,1091,41
L,talet,190,116,0.5471,2.8268,41,107
L,komvux,27,12,0.0777,5.6627,934,42
L,talar,189,137,0.5442,1.1904,42,576
L,precis,186,149,0.5356,1.1272,43,648
L,resultaten,81,50,0.2332,5.4449,261,43
L,bakgrunden,31,27,0.0893,5.4426,819,44
L,första,181,143,0.5212,0.9496,44,848
L,inför,180,131,0.5183,1.1761,45,586
L,public,27,6,0.0777,5.3685,939,45
L,europeiskt,55,46,0.1584,5.247,426,46
L,ännu,179,140,0.5154,1.3959,46,411
L,frihandel,48,32,0.1382,5.0982,497,47
L,ändå,178,154,0.5125,1.1722,47,595
L,aldrig,177,138,0.5096,0.977,48,819
L,koldioxidutsläppen,21,19,0.0605,4.9721,1197,48
L,böcker,21,15,0.0605,4.8237,1173,49
L,stort,177,138,0.5096,1.6962,49,276
L,grundskolan,49,38,0.1411,4.5649,489,50
L,två,177,131,0.5096,0.9636,50,835
