session,session_year,party,topic_id,topic_label,segments,words,word_share_pct
1993/94,1993,M,-1,Ej grupperade,69,5476,71.6473
1993/94,1993,M,15,jobb / arbetslösheten / arbetsmarknaden,5,406,5.3121
1993/94,1993,M,22,jobb / arbetslösheten / arbetsmarknaden,4,332,4.3438
1993/94,1993,M,16,eu / europa / europeiska,4,321,4.1999
1993/94,1993,M,18,partier / ta / politiska,4,298,3.899
1993/94,1993,M,8,skolan / lärare / skola,3,272,3.5588
1993/94,1993,M,23,partier / ta / ansvar,2,171,2.2373
1993/94,1993,M,3,polisen / brott / poliser,2,99,1.2953
1993/94,1993,M,2,kvinnor / män / kvinnors,1,90,1.1775
1993/94,1993,M,12,vården / vård / sjukvården,1,87,1.1383
1993/94,1993,M,19,skatten / miljarder / skatt,1,84,1.099
1993/94,1993,M,7,sd / nej / ta,1,7,0.0916
1994/95,1994,M,-1,Ej grupperade,81,6278,68.0837
1994/95,1994,M,16,eu / europa / europeiska,10,771,8.3613
1994/95,1994,M,19,skatten / miljarder / skatt,8,676,7.3311
1994/95,1994,M,14,skatt / skatten / skatter,6,488,5.2923
1994/95,1994,M,18,partier / ta / politiska,6,386,4.1861
1994/95,1994,M,15,jobb / arbetslösheten / arbetsmarknaden,3,236,2.5594
1994/95,1994,M,5,utsläppen / eu / kärnkraft,3,130,1.4098
1994/95,1994,M,1,emu / folkomröstning / eu,1,84,0.911
1994/95,1994,M,3,polisen / brott / poliser,1,80,0.8676
1994/95,1994,M,12,vården / vård / sjukvården,1,73,0.7917
1994/95,1994,M,21,nato / försvaret / militära,1,19,0.2061
1995/96,1995,M,-1,Ej grupperade,130,9537,67.6095
1995/96,1995,M,5,utsläppen / eu / kärnkraft,14,950,6.7347
1995/96,1995,M,18,partier / ta / politiska,11,802,5.6855
1995/96,1995,M,15,jobb / arbetslösheten / arbetsmarknaden,11,745,5.2814
1995/96,1995,M,10,perssons / går / lite,7,556,3.9416
1995/96,1995,M,16,eu / europa / europeiska,5,412,2.9207
1995/96,1995,M,1,emu / folkomröstning / eu,4,325,2.304
1995/96,1995,M,22,jobb / arbetslösheten / arbetsmarknaden,4,306,2.1693
1995/96,1995,M,14,skatt / skatten / skatter,4,297,2.1055
1995/96,1995,M,23,partier / ta / ansvar,1,77,0.5459
1995/96,1995,M,20,ryssland / ukraina / ryska,1,70,0.4962
1995/96,1995,M,7,sd / nej / ta,3,25,0.1772
1995/96,1995,M,24,se / sveriges / världen,1,4,0.0284
1996/97,1996,M,-1,Ej grupperade,74,5681,55.707
1996/97,1996,M,15,jobb / arbetslösheten / arbetsmarknaden,12,876,8.5899
1996/97,1996,M,10,perssons / går / lite,11,855,8.384
1996/97,1996,M,5,utsläppen / eu / kärnkraft,9,652,6.3934
1996/97,1996,M,18,partier / ta / politiska,7,513,5.0304
1996/97,1996,M,1,emu / folkomröstning / eu,6,483,4.7362
1996/97,1996,M,22,jobb / arbetslösheten / arbetsmarknaden,3,226,2.2161
1996/97,1996,M,23,partier / ta / ansvar,3,199,1.9514
1996/97,1996,M,20,ryssland / ukraina / ryska,2,169,1.6572
1996/97,1996,M,13,äldre / äldreomsorgen / pensionärer,2,129,1.265
1996/97,1996,M,11,euron / valuta / europa,2,93,0.9119
1996/97,1996,M,14,skatt / skatten / skatter,1,83,0.8139
1996/97,1996,M,16,eu / europa / europeiska,1,81,0.7943
1996/97,1996,M,12,vården / vård / sjukvården,1,81,0.7943
1996/97,1996,M,19,skatten / miljarder / skatt,1,76,0.7452
1996/97,1996,M,7,sd / nej / ta,1,1,0.0098
1997/98,1997,M,-1,Ej grupperade,83,6675,67.3698
1997/98,1997,M,19,skatten / miljarder / skatt,8,615,6.2071
1997/98,1997,M,15,jobb / arbetslösheten / arbetsmarknaden,7,593,5.9851
1997/98,1997,M,22,jobb / arbetslösheten / arbetsmarknaden,4,346,3.4921
1997/98,1997,M,8,skolan / lärare / skola,4,307,3.0985
1997/98,1997,M,16,eu / europa / europeiska,3,269,2.715
1997/98,1997,M,13,äldre / äldreomsorgen / pensionärer,3,244,2.4627
1997/98,1997,M,5,utsläppen / eu / kärnkraft,3,208,2.0993
1997/98,1997,M,10,perssons / går / lite,2,177,1.7864
1997/98,1997,M,14,skatt / skatten / skatter,2,150,1.5139
1997/98,1997,M,12,vården / vård / sjukvården,2,98,0.9891
1997/98,1997,M,18,partier / ta / politiska,2,94,0.9487
1997/98,1997,M,2,kvinnor / män / kvinnors,1,75,0.757
1997/98,1997,M,7,sd / nej / ta,4,49,0.4945
1997/98,1997,M,24,se / sveriges / världen,1,8,0.0807
1998/99,1998,M,-1,Ej grupperade,110,8621,66.5047
1998/99,1998,M,16,eu / europa / europeiska,21,1583,12.2117
1998/99,1998,M,5,utsläppen / eu / kärnkraft,9,632,4.8754
1998/99,1998,M,11,euron / valuta / europa,6,444,3.4251
1998/99,1998,M,10,perssons / går / lite,5,395,3.0471
1998/99,1998,M,18,partier / ta / politiska,6,313,2.4146
1998/99,1998,M,15,jobb / arbetslösheten / arbetsmarknaden,4,312,2.4069
1998/99,1998,M,21,nato / försvaret / militära,2,164,1.2651
1998/99,1998,M,23,partier / ta / ansvar,2,136,1.0491
1998/99,1998,M,22,jobb / arbetslösheten / arbetsmarknaden,1,87,0.6711
1998/99,1998,M,19,skatten / miljarder / skatt,1,87,0.6711
1998/99,1998,M,24,se / sveriges / världen,1,85,0.6557
1998/99,1998,M,12,vården / vård / sjukvården,1,74,0.5709
1998/99,1998,M,7,sd / nej / ta,2,30,0.2314
1999/2000,1999,M,-1,Ej grupperade,79,5932,55.3203
1999/2000,1999,M,8,skolan / lärare / skola,17,1372,12.7949
1999/2000,1999,M,10,perssons / går / lite,10,781,7.2834
1999/2000,1999,M,12,vården / vård / sjukvården,6,520,4.8494
1999/2000,1999,M,23,partier / ta / ansvar,4,356,3.32
1999/2000,1999,M,18,partier / ta / politiska,5,341,3.1801
1999/2000,1999,M,19,skatten / miljarder / skatt,4,312,2.9096
1999/2000,1999,M,5,utsläppen / eu / kärnkraft,4,274,2.5553
1999/2000,1999,M,15,jobb / arbetslösheten / arbetsmarknaden,3,181,1.688
1999/2000,1999,M,11,euron / valuta / europa,2,160,1.4921
1999/2000,1999,M,3,polisen / brott / poliser,2,156,1.4548
1999/2000,1999,M,22,jobb / arbetslösheten / arbetsmarknaden,1,87,0.8113
1999/2000,1999,M,14,skatt / skatten / skatter,2,84,0.7834
1999/2000,1999,M,16,eu / europa / europeiska,1,83,0.774
1999/2000,1999,M,13,äldre / äldreomsorgen / pensionärer,1,65,0.6062
1999/2000,1999,M,7,sd / nej / ta,1,19,0.1772
2000/01,2000,M,-1,Ej grupperade,205,15221,53.6688
2000/01,2000,M,16,eu / europa / europeiska,37,2810,9.908
2000/01,2000,M,12,vården / vård / sjukvården,18,1464,5.162
2000/01,2000,M,19,skatten / miljarder / skatt,20,1451,5.1162
2000/01,2000,M,8,skolan / lärare / skola,15,1155,4.0725
2000/01,2000,M,4,bostäder / hyresrätter / marknadshyror,15,1016,3.5824
2000/01,2000,M,9,barn / barnen / föräldrar,10,867,3.057
2000/01,2000,M,14,skatt / skatten / skatter,10,806,2.8419
2000/01,2000,M,2,kvinnor / män / kvinnors,8,678,2.3906
2000/01,2000,M,15,jobb / arbetslösheten / arbetsmarknaden,8,673,2.373
2000/01,2000,M,10,perssons / går / lite,8,548,1.9322
2000/01,2000,M,18,partier / ta / politiska,8,473,1.6678
2000/01,2000,M,5,utsläppen / eu / kärnkraft,6,345,1.2165
2000/01,2000,M,13,äldre / äldreomsorgen / pensionärer,4,258,0.9097
2000/01,2000,M,3,polisen / brott / poliser,3,232,0.818
2000/01,2000,M,11,euron / valuta / europa,2,136,0.4795
2000/01,2000,M,20,ryssland / ukraina / ryska,1,84,0.2962
2000/01,2000,M,21,nato / försvaret / militära,1,67,0.2362
2000/01,2000,M,7,sd / nej / ta,7,53,0.1869
2000/01,2000,M,24,se / sveriges / världen,1,24,0.0846
2001/02,2001,M,-1,Ej grupperade,69,5517,51.8077
2001/02,2001,M,17,fn / afghanistan / fn s,8,643,6.0381
2001/02,2001,M,10,perssons / går / lite,7,609,5.7188
2001/02,2001,M,8,skolan / lärare / skola,7,559,5.2493
2001/02,2001,M,12,vården / vård / sjukvården,6,527,4.9488
2001/02,2001,M,9,barn / barnen / föräldrar,7,495,4.6483
2001/02,2001,M,19,skatten / miljarder / skatt,6,440,4.1318
2001/02,2001,M,14,skatt / skatten / skatter,5,432,4.0567
2001/02,2001,M,18,partier / ta / politiska,6,405,3.8032
2001/02,2001,M,21,nato / försvaret / militära,3,286,2.6857
2001/02,2001,M,2,kvinnor / män / kvinnors,3,174,1.634
2001/02,2001,M,22,jobb / arbetslösheten / arbetsmarknaden,2,167,1.5682
2001/02,2001,M,5,utsläppen / eu / kärnkraft,2,116,1.0893
2001/02,2001,M,15,jobb / arbetslösheten / arbetsmarknaden,2,107,1.0048
2001/02,2001,M,16,eu / europa / europeiska,1,92,0.8639
2001/02,2001,M,3,polisen / brott / poliser,1,76,0.7137
2001/02,2001,M,7,sd / nej / ta,1,4,0.0376
2002/03,2002,M,-1,Ej grupperade,87,6893,58.2425
2002/03,2002,M,11,euron / valuta / europa,23,1833,15.488
2002/03,2002,M,19,skatten / miljarder / skatt,5,391,3.3038
2002/03,2002,M,10,perssons / går / lite,4,341,2.8813
2002/03,2002,M,15,jobb / arbetslösheten / arbetsmarknaden,5,331,2.7968
2002/03,2002,M,5,utsläppen / eu / kärnkraft,4,305,2.5771
2002/03,2002,M,14,skatt / skatten / skatter,3,260,2.1969
2002/03,2002,M,16,eu / europa / europeiska,3,208,1.7575
2002/03,2002,M,12,vården / vård / sjukvården,3,180,1.5209
2002/03,2002,M,8,skolan / lärare / skola,2,178,1.504
2002/03,2002,M,17,fn / afghanistan / fn s,2,165,1.3942
2002/03,2002,M,2,kvinnor / män / kvinnors,2,151,1.2759
2002/03,2002,M,9,barn / barnen / föräldrar,2,150,1.2674
2002/03,2002,M,24,se / sveriges / världen,1,96,0.8112
2002/03,2002,M,22,jobb / arbetslösheten / arbetsmarknaden,1,91,0.7689
2002/03,2002,M,13,äldre / äldreomsorgen / pensionärer,1,89,0.752
2002/03,2002,M,1,emu / folkomröstning / eu,1,85,0.7182
2002/03,2002,M,3,polisen / brott / poliser,1,83,0.7013
2002/03,2002,M,7,sd / nej / ta,4,5,0.0422
2003/04,2003,M,-1,Ej grupperade,84,6874,60.8857
2003/04,2003,M,10,perssons / går / lite,14,880,7.7945
2003/04,2003,M,21,nato / försvaret / militära,6,518,4.5881
2003/04,2003,M,18,partier / ta / politiska,6,384,3.4012
2003/04,2003,M,16,eu / europa / europeiska,5,368,3.2595
2003/04,2003,M,3,polisen / brott / poliser,5,368,3.2595
2003/04,2003,M,8,skolan / lärare / skola,4,366,3.2418
2003/04,2003,M,9,barn / barnen / föräldrar,3,264,2.3384
2003/04,2003,M,23,partier / ta / ansvar,3,255,2.2586
2003/04,2003,M,5,utsläppen / eu / kärnkraft,3,249,2.2055
2003/04,2003,M,19,skatten / miljarder / skatt,3,238,2.1081
2003/04,2003,M,12,vården / vård / sjukvården,2,176,1.5589
2003/04,2003,M,14,skatt / skatten / skatter,2,168,1.488
2003/04,2003,M,7,sd / nej / ta,4,62,0.5492
2003/04,2003,M,15,jobb / arbetslösheten / arbetsmarknaden,1,62,0.5492
2003/04,2003,M,6,migrationspolitik / flyktingar / invandring,1,58,0.5137
