party,word,occurrences,speeches_with_word,per_1000_words,frequency_ratio,common_rank,distinctive_rank
M,jobb,841,344,2.0681,1.5437,1,409
M,varaktigt,24,17,0.059,12.2952,1244,1
M,ringholm,22,14,0.0541,11.2915,1346,2
M,rätt,430,278,1.0574,1.2869,2,610
M,arbete,411,246,1.0107,1.5333,3,413
M,arbetslinje,49,36,0.1205,9.8577,602,3
M,förbereder,22,18,0.0541,9.7341,1314,4
M,tar,407,300,1.0009,1.2246,4,673
M,bosse,28,18,0.0689,9.6639,1047,5
M,komma,404,278,0.9935,1.2845,5,612
M,inkomstskatter,22,19,0.0541,9.1061,1321,6
M,problem,398,249,0.9787,1.5322,6,414
M,arbetsförmåga,20,14,0.0492,8.8688,1430,7
M,europa,390,167,0.9591,1.2755,7,626
M,annat,350,263,0.8607,1.0286,8,939
M,ramverket,25,12,0.0615,8.6467,1182,8
M,ger,340,239,0.8361,1.489,9,445
M,moderater,147,100,0.3615,8.2985,132,9
M,realiteten,24,24,0.059,7.8816,1224,10
M,viktigt,324,214,0.7968,1.1306,10,786
M,låt,321,244,0.7894,1.8787,11,244
M,sysselsatta,23,18,0.0566,7.5599,1298,11
M,löna,93,68,0.2287,7.3778,277,12
M,olika,318,218,0.782,1.1196,12,809
M,beskattningen,22,20,0.0541,7.2382,1309,13
M,förslag,311,210,0.7648,0.9479,13,1064
M,bidragssystem,23,21,0.0566,7.1911,1252,14
M,ingen,311,225,0.7648,1.1012,14,832
M,förtidspensionärer,20,15,0.0492,6.2731,1445,15
M,två,294,219,0.723,1.4575,15,469
M,ned,282,217,0.6935,0.9767,16,1012
M,påpeka,60,54,0.1475,6.1711,496,16
M,ansvar,281,192,0.691,0.898,17,1147
M,drivkrafter,25,17,0.0615,6.0364,1166,17
M,dölja,36,33,0.0885,5.9472,821,18
M,varför,280,176,0.6886,0.867,18,1174
M,bort,276,204,0.6787,1.0383,19,925
M,lönar,55,44,0.1353,5.8514,545,19
M,skolan,275,144,0.6763,0.8428,20,1205
M,väcker,22,18,0.0541,5.761,1365,20
M,första,274,179,0.6738,1.2817,21,617
M,trösklar,21,19,0.0516,5.7392,1421,21
M,nedgång,20,16,0.0492,5.7155,1461,22
M,skatter,270,155,0.664,2.3519,22,148
M,valutan,26,18,0.0639,5.4504,1157,23
M,varje,265,178,0.6517,1.0215,23,949
M,alltid,264,191,0.6492,1.6339,24,360
M,fossilfri,49,40,0.1205,5.2188,604,24
M,stram,25,21,0.0615,5.0782,1187,25
M,vid,264,184,0.6492,1.0445,25,910
M,finanser,75,52,0.1844,4.8083,366,26
M,jobben,263,152,0.6468,2.0146,26,208
M,kärnan,40,34,0.0984,4.7488,745,27
M,mindre,256,190,0.6295,1.4108,27,501
M,arbeta,251,156,0.6172,2.36,28,147
M,finanskris,29,20,0.0713,4.5693,1026,28
M,notera,28,26,0.0689,4.5261,1061,29
M,offentliga,249,138,0.6123,2.4667,29,129
M,arbetsmarknaden,239,140,0.5877,1.7982,30,276
M,regleringar,28,25,0.0689,4.5261,1067,30
M,ben,31,26,0.0762,4.4405,955,31
M,företag,237,142,0.5828,0.8284,31,1225
M,känslan,26,21,0.0639,4.2085,1134,32
M,nej,237,162,0.5828,0.9634,32,1031
M,regeringsalternativ,30,26,0.0738,4.205,1006,33
M,saker,236,190,0.5804,1.4784,33,457
M,marginaler,31,27,0.0762,4.16,972,34
M,världen,236,150,0.5804,1.0921,34,845
M,finanspolitiska,39,25,0.0959,4.029,759,35
M,skola,233,131,0.573,1.5394,35,411
M,bidragen,30,27,0.0738,3.9449,985,36
M,europeiska,231,132,0.5681,1.7075,36,324
M,fått,229,168,0.5631,0.8868,37,1155
M,skjutningar,23,19,0.0566,3.9311,1293,37
M,omvärld,58,39,0.1426,3.8427,514,38
M,tillbaka,229,187,0.5631,1.1421,38,776
M,ansträngningar,26,25,0.0639,3.8215,1112,39
M,jobbar,226,157,0.5558,2.8503,39,96
M,kriminaliteten,29,23,0.0713,3.8156,1031,40
M,någonting,226,177,0.5558,0.8962,40,1150
M,förnyelse,35,29,0.0861,3.8067,850,41
M,miljarder,223,136,0.5484,0.8706,41,1170
M,redan,222,163,0.5459,1.0986,42,834
M,uppgiften,58,44,0.1426,3.7638,518,42
M,egna,221,150,0.5435,1.8128,43,271
M,marknadsekonomi,31,24,0.0762,3.6935,973,43
M,resurser,220,147,0.541,1.2921,44,606
M,yttre,35,20,0.0861,3.6809,871,44
M,arbetslinjen,52,41,0.1279,3.6391,577,45
M,stor,220,170,0.541,1.0579,45,892
M,aldrig,219,168,0.5386,1.0404,46,920
M,påpekade,20,18,0.0492,3.6225,1467,46
M,fel,219,155,0.5386,1.1684,47,742
M,vänsterns,20,18,0.0492,3.6225,1488,47
M,behövs,218,165,0.5361,1.1542,48,762
M,beskrivning,50,46,0.123,3.6205,592,48
M,ekonomi,217,134,0.5336,1.7481,49,303
M,vuxit,34,28,0.0836,3.5772,900,49
M,förbereda,20,17,0.0492,3.5232,1442,50
M,själva,216,164,0.5312,1.1266,50,794
