session,session_year,party,topic_id,topic_label,segments,words,word_share_pct
1994/95,1994,MP,-1,Ej grupperade,83,6533,64.4344
1994/95,1994,MP,9,kärnkraft / kärnkraften / el,12,947,9.3402
1994/95,1994,MP,21,jobb / arbetslösheten / arbetsmarknaden,10,734,7.2394
1994/95,1994,MP,18,eu / europa / europeiska,8,598,5.898
1994/95,1994,MP,16,partier / politiska / valet,3,257,2.5348
1994/95,1994,MP,10,barn / föräldrar / barnen,2,172,1.6964
1994/95,1994,MP,23,nato / försvaret / militära,2,169,1.6668
1994/95,1994,MP,25,jobb / arbetslösheten / arbetsmarknaden,2,168,1.657
1994/95,1994,MP,0,kvinnor / män / kvinnors,2,166,1.6372
1994/95,1994,MP,7,eu / utsläppen / utsläpp,1,90,0.8877
1994/95,1994,MP,19,fn / afghanistan / usa,1,87,0.8581
1994/95,1994,MP,8,skatteväxling / gröna / grön skatteväxling,1,74,0.7299
1994/95,1994,MP,3,flyktingar / migrationspolitik / invandring,1,72,0.7101
1994/95,1994,MP,14,vården / vård / sjukvården,1,72,0.7101
1995/96,1995,MP,-1,Ej grupperade,103,8132,59.7809
1995/96,1995,MP,9,kärnkraft / kärnkraften / el,19,1513,11.1225
1995/96,1995,MP,21,jobb / arbetslösheten / arbetsmarknaden,14,1045,7.6821
1995/96,1995,MP,18,eu / europa / europeiska,11,904,6.6456
1995/96,1995,MP,8,skatteväxling / gröna / grön skatteväxling,5,397,2.9185
1995/96,1995,MP,16,partier / politiska / valet,4,358,2.6318
1995/96,1995,MP,6,perssons / åt / talar,4,254,1.8672
1995/96,1995,MP,4,järnväg / järnvägen / stockholm,2,171,1.2571
1995/96,1995,MP,7,eu / utsläppen / utsläpp,2,163,1.1983
1995/96,1995,MP,20,skatter / skatten / skatt,2,162,1.1909
1995/96,1995,MP,11,euron / valuta / europa,2,98,0.7204
1995/96,1995,MP,25,jobb / arbetslösheten / arbetsmarknaden,1,88,0.6469
1995/96,1995,MP,0,kvinnor / män / kvinnors,1,85,0.6249
1995/96,1995,MP,3,flyktingar / migrationspolitik / invandring,1,83,0.6102
1995/96,1995,MP,10,barn / föräldrar / barnen,1,76,0.5587
1995/96,1995,MP,17,skatt / skatten / skatter,1,74,0.544
1996/97,1996,MP,-1,Ej grupperade,78,6182,64.102
1996/97,1996,MP,21,jobb / arbetslösheten / arbetsmarknaden,17,1313,13.6147
1996/97,1996,MP,9,kärnkraft / kärnkraften / el,10,764,7.922
1996/97,1996,MP,6,perssons / åt / talar,4,351,3.6396
1996/97,1996,MP,14,vården / vård / sjukvården,3,274,2.8411
