party,word,occurrences,speeches_with_word,per_1000_words,frequency_ratio,common_rank,distinctive_rank
MP,jobb,459,201,1.1838,0.8011,1,1158
MP,timmarsveckan,20,12,0.0516,90.5784,1399,1
MP,arter,20,18,0.0516,54.347,1343,2
MP,barn,447,217,1.1528,1.8057,2,293
MP,klimatklivet,27,17,0.0696,24.3015,1038,3
MP,stället,424,297,1.0935,1.7667,3,311
MP,biologisk,37,28,0.0954,23.6703,748,4
MP,världen,371,212,0.9568,2.0124,4,245
MP,förslag,366,246,0.9439,1.2106,5,628
MP,naturvårdsverket,25,23,0.0645,22.5341,1112,5
MP,djuren,23,10,0.0593,20.7668,1193,6
MP,skolan,352,168,0.9078,1.1838,6,665
MP,flygskatten,29,21,0.0748,20.5807,961,7
MP,tar,330,242,0.8511,1.012,7,865
MP,bygga,324,207,0.8356,1.787,8,298
MP,torka,31,26,0.08,18.1541,928,8
MP,inom,323,208,0.833,1.1649,9,691
MP,klimatinvesteringar,21,18,0.0542,16.7641,1310,9
MP,ned,320,233,0.8253,1.1957,10,649
MP,tillverka,20,13,0.0516,15.9844,1398,10
MP,bort,316,228,0.815,1.2865,11,562
MP,översvämningar,28,24,0.0722,15.1111,1027,11
MP,biogas,29,22,0.0748,14.4827,960,12
MP,framtiden,313,211,0.8072,2.328,12,187
MP,motorvägar,30,27,0.0774,13.0416,945,13
MP,samhälle,309,144,0.7969,1.9867,13,252
MP,ansvar,303,191,0.7814,1.0345,14,837
MP,solceller,28,20,0.0722,11.4478,1017,14
MP,parisavtalet,31,23,0.08,11.285,921,15
MP,pengar,298,193,0.7686,1.1055,15,755
MP,annat,290,236,0.7479,0.8762,16,1059
MP,kollektivtrafik,53,43,0.1367,11.2565,522,16
MP,hållbart,132,83,0.3404,10.7751,135,17
MP,komma,288,221,0.7428,0.9142,17,1006
MP,forskarna,21,21,0.0542,10.5552,1297,18
MP,gröna,283,174,0.7299,4.8116,18,66
MP,fått,277,191,0.7144,1.1674,19,686
MP,klimatförändringarna,70,56,0.1805,9.8369,377,19
MP,ger,270,182,0.6963,1.1916,20,655
MP,klimatkrisen,51,41,0.1315,9.6148,543,20
MP,jorden,60,45,0.1547,9.0107,452,21
MP,möjlighet,268,190,0.6912,1.5713,21,380
MP,jordens,34,21,0.0877,8.9669,833,22
MP,varje,263,177,0.6783,1.0698,22,790
MP,förnybar,142,102,0.3662,8.9521,112,23
MP,varför,259,166,0.668,0.8388,23,1103
MP,tåg,49,36,0.1264,8.7485,578,24
MP,viktigt,253,188,0.6525,0.8977,24,1027
MP,miljarder,251,163,0.6473,1.0533,25,814
MP,naturen,46,31,0.1186,8.6813,620,25
MP,ganska,250,194,0.6448,1.683,26,339
MP,klimatförändringar,25,23,0.0645,8.667,1106,26
MP,förnybart,74,52,0.1908,8.5872,347,27
MP,redan,246,170,0.6344,1.3106,27,538
MP,miljöskatter,28,23,0.0722,8.3951,1009,28
MP,olika,243,163,0.6267,0.8679,28,1071
MP,planeten,28,25,0.0722,8.3951,1011,29
MP,samhället,241,144,0.6215,1.4413,29,440
MP,ekologiskt,51,27,0.1315,8.2247,539,30
MP,tidigare,241,196,0.6215,1.105,30,756
MP,behövs,240,162,0.619,1.3676,31,498
MP,livskvalitet,27,18,0.0696,7.7558,1040,31
MP,klimathotet,58,40,0.1496,7.6776,470,32
MP,procent,239,152,0.6164,1.5418,32,393
MP,elbilar,32,27,0.0825,7.5579,886,33
MP,ingen,238,176,0.6138,0.8556,33,1084
MP,miljöfrågor,28,22,0.0722,7.4074,1008,34
MP,ställa,238,196,0.6138,1.7437,34,320
MP,miljöbilar,21,11,0.0542,7.3074,1313,35
MP,nej,235,165,0.6061,1.008,35,870
MP,annan,230,182,0.5932,1.1613,36,696
MP,djur,47,25,0.1212,7.2371,600,36
MP,företag,229,141,0.5906,0.842,37,1100
MP,kollektivtrafiken,28,26,0.0722,7.1279,1003,37
MP,miljöområdet,43,36,0.1109,6.9471,666,38
MP,någonting,229,181,0.5906,0.9612,38,935
MP,hållbara,75,55,0.1934,6.9019,337,39
MP,stor,229,177,0.5906,1.1714,39,678
MP,fossila,89,68,0.2295,6.7792,263,40
MP,första,226,178,0.5829,1.0788,40,786
MP,energieffektivisering,26,23,0.0671,6.6277,1063,41
MP,samtidigt,225,167,0.5803,1.2439,41,592
MP,beslut,223,157,0.5751,1.2666,42,573
MP,klimatarbetet,22,18,0.0567,6.6277,1256,42
MP,bränslen,79,59,0.2037,6.5454,313,43
MP,innebär,223,152,0.5751,1.1733,43,674
MP,miljöfrågorna,41,28,0.1057,6.4717,689,44
MP,större,223,158,0.5751,1.2516,44,587
MP,klimatsmarta,25,22,0.0645,6.3776,1107,45
MP,rätt,221,171,0.57,0.6362,45,1300
MP,kol,46,40,0.1186,6.3544,615,46
MP,minska,218,162,0.5622,2.1793,46,216
MP,ekologisk,21,16,0.0542,6.3331,1294,47
MP,tillsammans,216,175,0.5571,1.1016,47,758
MP,miljöproblem,20,20,0.0516,6.3194,1375,48
MP,satsa,215,156,0.5545,2.2944,48,196
MP,järnväg,60,46,0.1547,6.3146,453,49
MP,mindre,209,156,0.539,1.1693,49,682
MP,friår,21,12,0.0542,6.0636,1299,50
MP,två,208,168,0.5364,1.021,50,859
