session,session_year,party,topic_id,topic_label,segments,words,word_share_pct
1993/94,1993,NYD,-1,Ej grupperade,69,5503,63.4059
1993/94,1993,NYD,3,flyktingar / migrationspolitik / invandring,9,791,9.114
1993/94,1993,NYD,16,partier / politiska / valet,8,672,7.7428
1993/94,1993,NYD,21,jobb / arbetslösheten / arbetsmarknaden,4,338,3.8945
1993/94,1993,NYD,24,partier / ansvar / folket,4,295,3.399
1993/94,1993,NYD,1,polisen / poliser / brott,3,209,2.4081
1993/94,1993,NYD,10,barn / föräldrar / barnen,3,207,2.3851
1993/94,1993,NYD,20,skatter / skatten / skatt,2,171,1.9703
1993/94,1993,NYD,8,skatteväxling / gröna / grön skatteväxling,1,91,1.0485
1993/94,1993,NYD,25,jobb / arbetslösheten / arbetsmarknaden,1,85,0.9794
1993/94,1993,NYD,11,euron / valuta / europa,1,82,0.9448
1993/94,1993,NYD,7,eu / utsläppen / utsläpp,1,81,0.9333
1993/94,1993,NYD,9,kärnkraft / kärnkraften / el,1,78,0.8987
1993/94,1993,NYD,12,skolan / lärare / eleverna,1,76,0.8757
