party,word,occurrences,speeches_with_word,per_1000_words,frequency_ratio,common_rank,distinctive_rank
NYD,demokrati,45,8,5.1742,26.3465,1,1
NYD,förslag,28,9,3.2195,4.1213,2,2
NYD,a-kassan,1,1,0.115,1.5967,593,3
NYD,går,18,7,2.0697,1.3795,3,589
NYD,accepteras,2,1,0.23,41.3451,291,4
NYD,folk,15,4,1.7247,7.2935,4,405
NYD,accompli,1,1,0.115,1017.0904,594,5
NYD,miljarder,13,5,1.4948,2.5141,5,1010
NYD,administrera,1,1,0.115,35.0721,595,6
NYD,pengar,13,7,1.4948,2.2063,6,1186
NYD,adrenalin,1,1,0.115,1017.0904,596,7
NYD,stor,13,7,1.4948,3.0221,7,1504
NYD,agera,2,2,0.23,2.6528,292,8
NYD,nämligen,12,5,1.3798,3.2387,8,1096
NYD,aktier,1,1,0.115,15.6475,597,9
NYD,tre,11,6,1.2648,3.8205,9,1617
NYD,aktiviteterna,1,1,0.115,145.2986,598,10
NYD,varför,11,5,1.2648,1.6963,10,1754
NYD,aldrig,3,3,0.3449,0.7708,157,11
NYD,arbetslösheten,10,4,1.1498,3.2172,11,65
NYD,all,2,2,0.23,1.6253,293,12
NYD,ingen,10,5,1.1498,1.7152,12,712
NYD,alldeles,1,1,0.115,0.6001,599,13
NYD,demokratis,9,4,1.0348,429.4382,13,239
NYD,allihop,1,1,0.115,8.1367,600,14
NYD,ekonomiska,9,3,1.0348,2.4596,14,294
NYD,allmänhet,2,1,0.23,13.7817,294,15
NYD,jobb,9,4,1.0348,0.7576,15,757
NYD,allmänna,1,1,0.115,4.6871,601,16
NYD,komma,9,4,1.0348,1.3587,16,789
NYD,allra,2,2,0.23,0.9278,295,17
NYD,valfrihet,9,2,1.0348,10.9365,17,1741
NYD,alls,4,4,0.4599,3.9371,93,18
NYD,vid,9,3,1.0348,1.7471,18,1771
NYD,alltid,1,1,0.115,0.3978,602,19
NYD,blev,8,6,0.9199,2.9724,19,166
NYD,allting,2,1,0.23,3.6299,296,20
NYD,företagen,8,2,0.9199,4.363,20,470
NYD,allvarliga,1,1,0.115,3.5193,603,21
NYD,kronor,8,4,0.9199,2.0019,21,839
NYD,allvarligt,1,1,0.115,2.1873,604,22
NYD,politiker,8,3,0.9199,3.7112,22,1203
NYD,amerika,2,1,0.23,154.1046,297,23
NYD,runt,8,3,0.9199,3.3843,23,1326
NYD,ams,1,1,0.115,11.9658,605,24
NYD,skapa,8,3,0.9199,2.194,24,1418
NYD,andas,1,1,0.115,21.6402,606,25
NYD,talar,8,5,0.9199,2.092,25,1576
NYD,andras,2,2,0.23,11.2262,298,26
NYD,annat,7,3,0.8049,1.0251,26,33
NYD,anklagad,1,1,0.115,37.67,607,27
NYD,fått,7,4,0.8049,1.3778,27,446
NYD,anledning,1,1,0.115,1.2239,608,28
NYD,föreslagit,7,5,0.8049,10.7515,28,461
NYD,anledningen,1,1,0.115,4.4806,609,29
NYD,företag,7,4,0.8049,1.2535,29,466
NYD,anlägga,1,1,0.115,203.4181,610,30
NYD,god,7,4,0.8049,5.3475,30,564
NYD,annan,4,3,0.4599,0.9897,94,31
NYD,gånger,7,4,0.8049,3.9209,31,587
NYD,annars,2,2,0.23,2.1986,299,32
NYD,pengarna,7,4,0.8049,3.9029,32,1187
NYD,politiska,7,2,0.8049,1.887,33,1206
NYD,annorlunda,1,1,0.115,2.6281,611,34
NYD,stället,7,5,0.8049,1.2654,34,1517
NYD,anpassat,1,1,0.115,32.8094,612,35
NYD,sveriges,7,2,0.8049,1.1566,35,1537
NYD,anser,6,4,0.6899,4.3423,40,36
NYD,två,7,4,0.8049,1.6357,36,1645
NYD,ansiktslös,1,1,0.115,339.0301,613,37
NYD,tänker,7,7,0.8049,2.1911,37,1655
NYD,ansträngningar,2,1,0.23,12.5567,300,38
NYD,vidare,7,5,0.8049,2.6391,38,1772
NYD,anställa,1,1,0.115,1.1189,614,39
NYD,väljarna,7,1,0.8049,4.9421,39,1804
NYD,anställda,2,2,0.23,2.2877,301,40
NYD,anställdas,1,1,0.115,32.8094,615,41
NYD,beslut,6,3,0.6899,1.5894,41,134
NYD,anställningsskydd,1,1,0.115,17.2388,616,42
NYD,europa,6,4,0.6899,0.9563,42,335
NYD,ansvar,2,1,0.23,0.3775,302,43
NYD,familjepolitiken,6,4,0.6899,55.7898,43,358
NYD,ansvaret,1,1,0.115,1.041,617,44
NYD,fel,6,5,0.6899,1.5837,44,379
NYD,ansvarig,2,2,0.23,6.4948,303,45
NYD,framför,6,4,0.6899,1.7196,45,416
NYD,ansvariga,3,3,0.3449,15.116,158,46
NYD,gick,6,3,0.6899,3.1325,46,557
NYD,ansågs,1,1,0.115,35.0721,618,47
NYD,hjälp,6,4,0.6899,4.2749,47,629
NYD,antagligen,1,1,0.115,13.209,619,48
NYD,hjälpa,6,3,0.6899,4.8917,48,630
NYD,användas,1,1,0.115,2.1503,620,49
NYD,kommit,6,4,0.6899,3.1016,49,793
NYD,använder,2,2,0.23,2.2217,304,50
NYD,kostar,6,4,0.6899,8.177,50,817
