speaker,speaker_party,target,target_type,mentions,speeches,per_1000_words
Göran Persson,S,M,party,353,153,2.0229
Stefan Löfven,S,SD,party,208,101,1.9737
Göran Persson,S,L,party,194,82,1.1118
Magdalena Andersson,S,Ulf Kristersson,person,176,84,3.188
Stefan Löfven,S,M,party,166,95,1.5751
Mona Sahlin,S,Maud Olofsson,person,143,47,2.4358
Göran Persson,S,Lars Leijonborg,person,138,70,0.7908
Mona Sahlin,S,Fredrik Reinfeldt,person,129,56,2.1973
Magdalena Andersson,S,Jimmie Åkesson,person,121,62,2.1918
Göran Persson,S,Alf Svensson,person,115,50,0.659
Stefan Löfven,S,Jimmie Åkesson,person,107,62,1.0153
Göran Persson,S,Lars Tobisson,person,106,28,0.6075
Mona Sahlin,S,Göran Hägglund,person,100,43,1.7033
Mona Sahlin,S,Jan Björklund,person,99,39,1.6863
Göran Persson,S,Bo Lundgren,person,98,49,0.5616
Magdalena Andersson,S,SD,party,95,62,1.7208
Ingvar Carlsson,S,Carl Bildt,person,87,15,2.3128
Ingvar Carlsson,S,M,party,83,27,2.2065
Stefan Löfven,S,KD,party,79,49,0.7496
Stefan Löfven,S,Jan Björklund,person,76,36,0.7212
Göran Persson,S,V,party,68,39,0.3897
Stefan Löfven,S,Annie Lööf,person,68,38,0.6452
Göran Persson,S,Fredrik Reinfeldt,person,65,34,0.3725
Göran Persson,S,C,party,64,44,0.3668
Magdalena Andersson,S,Ebba Busch,person,64,34,1.1593
Göran Persson,S,Maud Olofsson,person,61,29,0.3496
Göran Persson,S,Carl Bildt,person,59,21,0.3381
Göran Persson,S,Gudrun Schyman,person,58,32,0.3324
Stefan Löfven,S,Anna Kinberg Batra,person,54,34,0.5124
Ingvar Carlsson,S,Gudrun Schyman,person,53,16,1.409
Magdalena Andersson,S,Johan Pehrson,person,53,26,0.96
Ingvar Carlsson,S,Alf Svensson,person,50,15,1.3292
Göran Persson,S,KD,party,49,37,0.2808
Mona Sahlin,S,M,party,49,28,0.8346
Ingvar Carlsson,S,V,party,44,13,1.1697
Stefan Löfven,S,Jonas Sjöstedt,person,43,23,0.408
Stefan Löfven,S,Ulf Kristersson,person,43,36,0.408
Göran Persson,S,MP,party,41,33,0.235
Ingvar Carlsson,S,Olof Johansson,person,41,18,1.09
Magdalena Andersson,S,M,party,40,35,0.7245
Mikael Damberg,S,M,party,38,20,0.854
Stefan Löfven,S,Ebba Busch,person,37,24,0.3511
Stefan Löfven,S,L,party,37,24,0.3511
Mikael Damberg,S,Jan Björklund,person,34,20,0.7641
Ingvar Carlsson,S,L,party,33,16,0.8773
Mona Sahlin,S,MP,party,33,30,0.5621
Mona Sahlin,S,L,party,30,15,0.511
Mikael Damberg,S,Fredrik Reinfeldt,person,29,18,0.6517
Mikael Damberg,S,L,party,29,18,0.6517
Stefan Löfven,S,C,party,29,22,0.2752
Ingvar Carlsson,S,Bengt Westerberg,person,28,12,0.7444
Mikael Damberg,S,Annie Lööf,person,28,17,0.6293
Göran Persson,S,Göran Hägglund,person,27,13,0.1547
Mikael Damberg,S,Jimmie Åkesson,person,27,9,0.6068
Göran Persson,S,Lennart Daléus,person,25,10,0.1433
Magdalena Andersson,S,L,party,25,18,0.4528
Göran Persson I Stjärnhov,S,Maud Olofsson,person,24,6,2.5759
Mona Sahlin,S,V,party,24,20,0.4088
Mikael Damberg,S,C,party,23,14,0.5169
Mona Sahlin,S,C,party,23,15,0.3918
Göran Persson,S,Peter Eriksson,person,22,13,0.1261
Ingvar Carlsson,S,Lars Tobisson,person,22,9,0.5849
Göran Persson,S,Olof Johansson,person,21,13,0.1203
Ingvar Carlsson,S,Lars Leijonborg,person,21,8,0.5583
Mikael Damberg,S,KD,party,21,14,0.4719
Stefan Löfven,S,Ebba Busch Thor,person,21,14,0.1993
Håkan Juholt,S,M,party,20,14,1.2244
Magdalena Andersson,S,KD,party,20,20,0.3623
Ingvar Carlsson,S,NYD,party,19,8,0.5051
Mikael Damberg,S,SD,party,19,12,0.427
Stefan Löfven,S,V,party,19,14,0.1803
Göran Persson,S,Lars Ohly,person,18,10,0.1032
Göran Persson,S,Maria Wetterstrand,person,18,11,0.1032
Håkan Juholt,S,Fredrik Reinfeldt,person,18,15,1.1019
Mona Sahlin,S,SD,party,17,10,0.2896
Göran Persson,S,Lena Ek,person,16,8,0.0917
Göran Persson I Stjärnhov,S,Lars Leijonborg,person,16,6,1.7173
Ingvar Carlsson,S,MP,party,16,8,0.4254
Mona Sahlin,S,KD,party,16,11,0.2725
Ingvar Carlsson,S,C,party,15,12,0.3988
Magdalena Andersson,S,C,party,15,10,0.2717
Magdalena Andersson,S,MP,party,15,8,0.2717
Ingvar Carlsson,S,Birger Schlaug,person,14,6,0.3722
Göran Persson,S,Birger Schlaug,person,13,10,0.0745
Stefan Löfven,S,Andreas Carlson,person,13,10,0.1234
Göran Persson I Stjärnhov,S,M,party,12,8,1.288
Mikael Damberg,S,Göran Hägglund,person,12,8,0.2697
Håkan Juholt,S,Jan Björklund,person,11,7,0.6734
Mona Sahlin,S,Jimmie Åkesson,person,11,6,0.1874
Mona Sahlin,S,Lars Leijonborg,person,11,4,0.1874
Mona Sahlin,S,Lars Ohly,person,11,11,0.1874
Anna Lindh,S,Mats Odell,person,10,3,3.2051
Göran Persson I Stjärnhov,S,Fredrik Reinfeldt,person,10,5,1.0733
Magdalena Andersson,S,Björn Söder,person,10,6,0.1811
Mikael Damberg,S,V,party,10,7,0.2247
Stefan Löfven,S,Nooshi Dadgostar,person,10,4,0.0949
Håkan Juholt,S,Göran Hägglund,person,9,6,0.551
Magdalena Andersson,S,Annie Lööf,person,9,4,0.163
Mikael Damberg,S,Stefan Löfven,person,9,8,0.2023
Stefan Löfven,S,Anders W Jonsson,person,9,6,0.0854
Göran Persson,S,Matz Hammarström,person,8,4,0.0458
Göran Persson I Stjärnhov,S,Göran Hägglund,person,8,3,0.8586
Göran Persson I Stjärnhov,S,L,party,8,4,0.8586
Magdalena Andersson,S,Muharrem Demirok,person,8,6,0.1449
Stefan Löfven,S,Johan Pehrson,person,8,3,0.0759
Stefan Löfven,S,MP,party,8,7,0.0759
Håkan Juholt,S,KD,party,7,5,0.4285
Håkan Juholt,S,L,party,7,7,0.4285
Mikael Damberg,S,MP,party,7,4,0.1573
Göran Persson I Stjärnhov,S,C,party,6,2,0.644
