session,session_year,party,topic_id,topic_label,segments,words,word_share_pct
1993/94,1993,S,-1,Ej grupperade,107,8465,69.6307
1993/94,1993,S,12,vården / vård / sjukvården,9,609,5.0095
1993/94,1993,S,8,skolan / lärare / skola,7,538,4.4254
1993/94,1993,S,5,utsläppen / eu / kärnkraft,7,468,3.8496
1993/94,1993,S,19,skatten / miljarder / skatt,6,388,3.1916
1993/94,1993,S,15,jobb / arbetslösheten / arbetsmarknaden,5,347,2.8543
1993/94,1993,S,16,eu / europa / europeiska,3,262,2.1551
1993/94,1993,S,22,jobb / arbetslösheten / arbetsmarknaden,3,246,2.0235
1993/94,1993,S,14,skatt / skatten / skatter,3,244,2.0071
1993/94,1993,S,20,ryssland / ukraina / ryska,2,157,1.2914
1993/94,1993,S,9,barn / barnen / föräldrar,1,91,0.7485
1993/94,1993,S,13,äldre / äldreomsorgen / pensionärer,1,90,0.7403
1993/94,1993,S,18,partier / ta / politiska,1,89,0.7321
1993/94,1993,S,23,partier / ta / ansvar,1,85,0.6992
1993/94,1993,S,6,migrationspolitik / flyktingar / invandring,1,78,0.6416
1994/95,1994,S,-1,Ej grupperade,139,11002,73.8043
1994/95,1994,S,19,skatten / miljarder / skatt,8,622,4.1725
1994/95,1994,S,18,partier / ta / politiska,8,565,3.7902
1994/95,1994,S,23,partier / ta / ansvar,7,519,3.4816
1994/95,1994,S,16,eu / europa / europeiska,6,496,3.3273
1994/95,1994,S,15,jobb / arbetslösheten / arbetsmarknaden,5,324,2.1735
1994/95,1994,S,3,polisen / brott / poliser,3,239,1.6033
1994/95,1994,S,13,äldre / äldreomsorgen / pensionärer,2,180,1.2075
1994/95,1994,S,5,utsläppen / eu / kärnkraft,2,170,1.1404
1994/95,1994,S,14,skatt / skatten / skatter,2,163,1.0934
1994/95,1994,S,2,kvinnor / män / kvinnors,2,140,0.9392
1994/95,1994,S,12,vården / vård / sjukvården,2,118,0.7916
1994/95,1994,S,1,emu / folkomröstning / eu,1,90,0.6037
1994/95,1994,S,8,skolan / lärare / skola,1,86,0.5769
1994/95,1994,S,22,jobb / arbetslösheten / arbetsmarknaden,1,74,0.4964
1994/95,1994,S,9,barn / barnen / föräldrar,1,71,0.4763
1994/95,1994,S,17,fn / afghanistan / fn s,1,39,0.2616
1994/95,1994,S,7,sd / nej / ta,2,9,0.0604
1995/96,1995,S,-1,Ej grupperade,171,13012,63.5507
1995/96,1995,S,18,partier / ta / politiska,19,1409,6.8816
1995/96,1995,S,5,utsläppen / eu / kärnkraft,17,1330,6.4957
1995/96,1995,S,16,eu / europa / europeiska,14,1017,4.967
1995/96,1995,S,23,partier / ta / ansvar,10,822,4.0147
1995/96,1995,S,22,jobb / arbetslösheten / arbetsmarknaden,7,580,2.8327
1995/96,1995,S,15,jobb / arbetslösheten / arbetsmarknaden,7,537,2.6227
1995/96,1995,S,19,skatten / miljarder / skatt,5,324,1.5824
1995/96,1995,S,6,migrationspolitik / flyktingar / invandring,3,262,1.2796
1995/96,1995,S,8,skolan / lärare / skola,3,249,1.2161
1995/96,1995,S,24,se / sveriges / världen,3,210,1.0256
1995/96,1995,S,1,emu / folkomröstning / eu,2,183,0.8938
1995/96,1995,S,12,vården / vård / sjukvården,2,159,0.7766
1995/96,1995,S,14,skatt / skatten / skatter,2,112,0.547
1995/96,1995,S,21,nato / försvaret / militära,1,89,0.4347
1995/96,1995,S,10,perssons / går / lite,1,85,0.4151
1995/96,1995,S,3,polisen / brott / poliser,1,73,0.3565
1995/96,1995,S,7,sd / nej / ta,4,22,0.1074
1996/97,1996,S,-1,Ej grupperade,127,9771,66.3836
1996/97,1996,S,5,utsläppen / eu / kärnkraft,12,910,6.1825
1996/97,1996,S,15,jobb / arbetslösheten / arbetsmarknaden,9,699,4.749
1996/97,1996,S,1,emu / folkomröstning / eu,8,576,3.9133
1996/97,1996,S,18,partier / ta / politiska,8,537,3.6483
1996/97,1996,S,23,partier / ta / ansvar,7,498,3.3834
1996/97,1996,S,22,jobb / arbetslösheten / arbetsmarknaden,4,322,2.1876
1996/97,1996,S,19,skatten / miljarder / skatt,3,263,1.7868
1996/97,1996,S,8,skolan / lärare / skola,3,247,1.6781
1996/97,1996,S,21,nato / försvaret / militära,2,184,1.2501
1996/97,1996,S,16,eu / europa / europeiska,2,180,1.2229
1996/97,1996,S,9,barn / barnen / föräldrar,2,178,1.2093
1996/97,1996,S,11,euron / valuta / europa,1,90,0.6115
1996/97,1996,S,12,vården / vård / sjukvården,1,89,0.6047
1996/97,1996,S,3,polisen / brott / poliser,1,88,0.5979
1996/97,1996,S,13,äldre / äldreomsorgen / pensionärer,1,85,0.5775
1996/97,1996,S,7,sd / nej / ta,2,2,0.0136
1997/98,1997,S,-1,Ej grupperade,124,9630,64.1401
1997/98,1997,S,19,skatten / miljarder / skatt,13,1074,7.1533
1997/98,1997,S,8,skolan / lärare / skola,8,676,4.5025
1997/98,1997,S,18,partier / ta / politiska,7,598,3.9829
1997/98,1997,S,5,utsläppen / eu / kärnkraft,8,582,3.8764
1997/98,1997,S,1,emu / folkomröstning / eu,6,460,3.0638
1997/98,1997,S,15,jobb / arbetslösheten / arbetsmarknaden,5,408,2.7175
1997/98,1997,S,23,partier / ta / ansvar,5,350,2.3312
1997/98,1997,S,16,eu / europa / europeiska,3,258,1.7184
1997/98,1997,S,14,skatt / skatten / skatter,3,248,1.6518
1997/98,1997,S,22,jobb / arbetslösheten / arbetsmarknaden,3,244,1.6251
1997/98,1997,S,12,vården / vård / sjukvården,2,166,1.1056
1997/98,1997,S,13,äldre / äldreomsorgen / pensionärer,2,157,1.0457
1997/98,1997,S,2,kvinnor / män / kvinnors,1,91,0.6061
1997/98,1997,S,9,barn / barnen / föräldrar,1,38,0.2531
1997/98,1997,S,7,sd / nej / ta,2,34,0.2265
1998/99,1998,S,-1,Ej grupperade,162,12599,68.6781
1998/99,1998,S,16,eu / europa / europeiska,12,934,5.0913
1998/99,1998,S,5,utsläppen / eu / kärnkraft,10,771,4.2028
1998/99,1998,S,18,partier / ta / politiska,9,733,3.9956
1998/99,1998,S,1,emu / folkomröstning / eu,8,689,3.7558
1998/99,1998,S,19,skatten / miljarder / skatt,5,420,2.2895
1998/99,1998,S,20,ryssland / ukraina / ryska,4,329,1.7934
1998/99,1998,S,9,barn / barnen / föräldrar,3,260,1.4173
1998/99,1998,S,23,partier / ta / ansvar,3,250,1.3628
1998/99,1998,S,12,vården / vård / sjukvården,3,243,1.3246
1998/99,1998,S,22,jobb / arbetslösheten / arbetsmarknaden,3,237,1.2919
1998/99,1998,S,21,nato / försvaret / militära,2,166,0.9049
