party,word,occurrences,speeches_with_word,per_1000_words,frequency_ratio,common_rank,distinctive_rank
S,jobb,723,354,1.3815,0.9513,1,1226
S,nyrekryteringen,28,21,0.0535,88.3711,1333,1
S,rätt,511,363,0.9764,1.1792,2,849
S,troligen,21,19,0.0401,66.6659,1748,2
S,jättelika,33,27,0.0631,62.3249,1130,3
S,skolan,488,250,0.9324,1.2365,3,768
S,europa,469,223,0.8961,1.1858,4,838
S,ändock,21,18,0.0401,28.5711,1755,4
S,annat,468,359,0.8942,1.079,5,1002
S,långtidsarbetslösheten,34,32,0.065,11.0664,1106,5
S,arbete,450,292,0.8598,1.2741,6,716
S,dagordning,24,18,0.0459,10.8526,1524,6
S,näringspolitik,50,40,0.0955,10.4392,755,7
S,varför,440,283,0.8407,1.0959,7,975
S,sjukhusen,23,18,0.0439,10.4096,1613,8
S,tar,435,339,0.8312,0.9835,8,1166
S,förslag,422,259,0.8063,1.0075,9,1123
S,gymnasieutbildning,21,15,0.0401,9.5237,1718,9
S,ingen,421,311,0.8044,1.1778,10,853
S,systemskiftet,20,18,0.0382,9.0807,1808,10
S,komma,420,338,0.8025,0.9981,11,1145
S,kompetensutveckling,23,20,0.0439,8.7441,1592,11
S,ansvar,419,267,0.8006,1.0671,12,1025
S,samhällsbygge,36,16,0.0688,8.7059,1055,12
S,kds,30,12,0.0573,8.5975,1249,13
S,viktigt,402,271,0.7681,1.0868,13,992
S,bort,395,269,0.7547,1.1856,14,839
S,budgetunderskott,41,31,0.0783,8.2137,898,14
S,miljarder,387,225,0.7394,1.246,15,749
S,sjysta,37,27,0.0707,7.7519,1026,15
S,arbetslösheten,382,215,0.7299,2.4221,16,158
S,lånade,30,21,0.0573,7.668,1253,16
S,kronor,377,237,0.7203,1.6402,17,396
S,moderatledaren,20,19,0.0382,7.6278,1795,17
S,fortsätta,364,271,0.6955,1.5322,18,461
S,socialdemokrater,350,239,0.6688,7.4269,20,18
S,konkurser,21,20,0.0401,7.4073,1726,19
S,resurser,358,228,0.684,1.7881,19,327
S,fallande,21,18,0.0401,6.8965,1712,20
S,tillbaka,348,249,0.6649,1.42,21,557
S,välfärdssamhället,29,21,0.0554,6.6931,1311,21
S,ned,346,248,0.6611,0.9207,22,1288
S,skattereformen,27,14,0.0516,6.5593,1395,22
S,låt,338,220,0.6458,1.4902,23,486
S,praktik,25,21,0.0478,6.411,1497,23
S,aldrig,337,231,0.6439,1.3022,24,688
S,striden,33,28,0.0631,6.3597,1148,24
S,löntagarna,49,41,0.0936,5.98,766,25
S,skattesänkningar,336,232,0.642,3.9176,25,56
S,morgondagen,24,14,0.0459,5.5586,1541,26
S,välfärden,332,212,0.6344,1.2839,26,706
S,pengar,326,229,0.6229,0.8621,27,1389
S,skolresultaten,38,27,0.0726,5.5098,1000,27
S,socialdemokrat,41,34,0.0783,5.4372,926,28
S,vid,315,221,0.6019,0.9544,28,1217
S,leijonborgs,21,20,0.0401,5.4053,1728,29
S,någonting,312,232,0.5961,0.9693,29,1189
S,nyliberala,29,22,0.0554,5.3807,1296,30
S,tillsammans,309,223,0.5904,1.1902,30,831
S,barnfamiljerna,38,33,0.0726,5.3453,984,31
S,ligger,306,212,0.5847,1.537,31,454
S,första,305,241,0.5828,1.0826,32,996
S,påbörjat,31,25,0.0592,5.3276,1214,32
S,systemskifte,31,23,0.0592,5.3276,1222,33
S,utbildning,300,195,0.5732,2.5669,33,138
S,framför,299,197,0.5713,1.4092,34,576
S,pressa,77,59,0.1471,5.2622,482,34
S,fått,299,212,0.5713,0.8967,35,1332
S,försämrad,26,21,0.0497,5.2449,1412,35
S,två,299,235,0.5713,1.1034,36,967
S,ungdomsarbetslösheten,80,63,0.1529,5.2366,472,36
S,bostadsbyggandet,24,19,0.0459,5.0645,1523,37
S,problem,297,226,0.5675,0.7987,37,1499
S,bygga,294,201,0.5618,1.1105,38,951
S,slaget,24,22,0.0459,5.0645,1549,38
S,ger,291,212,0.556,0.9139,39,1296
S,högskolan,53,38,0.1013,5.027,705,39
S,skiljelinjen,32,27,0.0611,4.9561,1180,40
S,stället,289,213,0.5522,0.7794,40,1531
S,kollektivavtalen,23,14,0.0439,4.6511,1589,41
S,sagt,286,225,0.5465,1.2542,41,741
S,folket,285,188,0.5446,1.5378,42,452
S,varslen,24,17,0.0459,4.6511,1562,42
S,fackliga,60,43,0.1146,4.5755,612,43
S,varje,285,201,0.5446,0.8245,43,1444
S,jämlikheten,29,19,0.0554,4.4986,1285,44
S,redan,282,219,0.5388,1.0855,44,994
S,bjuder,24,21,0.0459,4.4687,1522,45
S,nej,278,196,0.5312,0.8604,45,1391
S,emot,277,201,0.5293,1.1228,46,935
S,organisationerna,21,16,0.0401,4.4444,1737,46
S,inom,276,183,0.5274,0.6813,47,1662
S,plikt,36,22,0.0688,4.4095,1051,47
S,haft,273,203,0.5216,1.1242,48,934
S,lånar,26,22,0.0497,4.3247,1429,48
S,därutöver,22,22,0.042,4.2714,1643,49
S,företag,272,166,0.5197,0.7187,49,1620
S,knäcka,22,21,0.042,4.2714,1660,50
S,sådant,272,186,0.5197,1.6776,50,378
