session,session_year,party,topic_id,topic_label,segments,words,word_share_pct
2010/11,2010,SD,-1,Ej grupperade,84,6347,44.2392
2010/11,2010,SD,6,migrationspolitik / flyktingar / invandring,22,1787,12.4556
2010/11,2010,SD,3,polisen / brott / poliser,15,1198,8.3502
2010/11,2010,SD,22,jobb / arbetslösheten / arbetsmarknaden,11,957,6.6704
2010/11,2010,SD,8,skolan / lärare / skola,9,795,5.5412
2010/11,2010,SD,18,partier / ta / politiska,7,523,3.6454
2010/11,2010,SD,5,utsläppen / eu / kärnkraft,5,372,2.5929
2010/11,2010,SD,9,barn / barnen / föräldrar,4,364,2.5371
2010/11,2010,SD,12,vården / vård / sjukvården,4,356,2.4814
2010/11,2010,SD,17,fn / afghanistan / fn s,4,342,2.3838
2010/11,2010,SD,15,jobb / arbetslösheten / arbetsmarknaden,4,300,2.091
2010/11,2010,SD,19,skatten / miljarder / skatt,5,286,1.9934
2010/11,2010,SD,23,partier / ta / ansvar,3,183,1.2755
2010/11,2010,SD,16,eu / europa / europeiska,2,181,1.2616
2010/11,2010,SD,2,kvinnor / män / kvinnors,2,174,1.2128
2010/11,2010,SD,7,sd / nej / ta,3,99,0.69
2010/11,2010,SD,13,äldre / äldreomsorgen / pensionärer,1,82,0.5715
2010/11,2010,SD,24,se / sveriges / världen,1,1,0.007
2011/12,2011,SD,-1,Ej grupperade,95,7470,54.4104
2011/12,2011,SD,6,migrationspolitik / flyktingar / invandring,25,2036,14.8299
2011/12,2011,SD,3,polisen / brott / poliser,14,1140,8.3036
2011/12,2011,SD,22,jobb / arbetslösheten / arbetsmarknaden,8,619,4.5087
2011/12,2011,SD,8,skolan / lärare / skola,6,420,3.0592
2011/12,2011,SD,2,kvinnor / män / kvinnors,3,281,2.0468
2011/12,2011,SD,24,se / sveriges / världen,3,277,2.0176
2011/12,2011,SD,19,skatten / miljarder / skatt,3,253,1.8428
2011/12,2011,SD,15,jobb / arbetslösheten / arbetsmarknaden,3,239,1.7408
