party,word,occurrences,speeches_with_word,per_1000_words,frequency_ratio,common_rank,distinctive_rank
SD,minst,242,174,1.2196,2.9908,1,97
SD,vänsterliberala,23,20,0.1159,653.5698,618,1
SD,invandringspolitiken,50,41,0.252,52.0178,240,2
SD,problem,238,143,1.1995,1.8513,2,216
SD,församlingen,70,57,0.3528,41.7172,142,3
SD,olika,237,164,1.1944,1.7704,3,229
SD,invandringspolitik,64,53,0.3226,39.8631,164,4
SD,någonting,220,156,1.1088,1.9266,4,199
SD,annat,214,173,1.0785,1.312,5,363
SD,ansvarslös,39,37,0.1966,35.4372,338,5
SD,splittrat,21,15,0.1058,28.4737,698,6
SD,välfärden,211,112,1.0634,2.2188,6,163
SD,ansvar,198,119,0.9979,1.3468,7,345
SD,församling,25,23,0.126,28.3677,550,7
SD,ansvarslösa,26,24,0.131,22.3335,530,8
SD,ganska,198,169,0.9979,2.658,8,119
SD,ingen,179,138,0.9021,1.3092,9,364
SD,integrationspolitik,43,30,0.2167,18.6123,303,9
SD,närområdet,20,18,0.1008,18.3915,727,10
SD,vidare,176,152,0.887,3.0892,10,87
SD,segregation,38,36,0.1915,12.0308,359,11
SD,ändå,170,144,0.8568,2.0572,11,177
SD,löfvens,56,38,0.2822,11.6396,202,12
SD,samhället,169,117,0.8517,1.9933,12,187
SD,invandringen,50,37,0.252,11.4185,239,13
SD,tidigare,168,131,0.8467,1.54,13,280
SD,europa,166,93,0.8366,1.0796,14,455
SD,invandring,74,47,0.373,10.8479,131,14
SD,förslag,166,110,0.8366,1.0493,15,470
SD,kastar,22,16,0.1109,9.3397,636,15
SD,pengar,164,103,0.8265,1.1892,16,403
SD,public,25,5,0.126,8.7555,559,16
SD,annan,161,131,0.8114,1.6221,17,258
SD,länders,35,30,0.1764,8.4385,392,17
SD,förstår,157,120,0.7913,2.8205,18,106
SD,illegala,21,12,0.1058,8.4218,674,18
SD,liknande,52,50,0.2621,8.157,226,19
SD,menar,157,116,0.7913,2.6923,19,116
SD,partier,153,116,0.7711,1.7291,20,237
SD,upprätthålla,28,22,0.1411,8.0063,507,20
SD,motståndare,55,41,0.2772,7.4567,211,21
SD,rätt,152,123,0.7661,0.8923,21,545
SD,sten,21,17,0.1058,7.3821,700,22
SD,varför,152,112,0.7661,0.9829,22,512
SD,migrationspolitiken,36,26,0.1814,7.1994,379,23
SD,precis,145,125,0.7308,1.5752,23,269
SD,bryssel,104,54,0.5241,7.176,55,24
SD,stället,145,126,0.7308,1.0811,24,454
SD,givetvis,49,38,0.247,7.133,244,25
SD,tar,142,124,0.7157,0.8423,25,573
SD,jobb,139,86,0.7005,0.4707,26,710
SD,synnerhet,34,32,0.1714,6.9028,411,26
SD,invandrare,79,53,0.3981,6.7615,112,27
SD,världen,139,102,0.7005,1.3328,27,355
SD,inom,138,100,0.6955,0.9508,28,526
SD,splittring,23,19,0.1159,6.7378,611,28
SD,egentligen,137,115,0.6905,2.6246,29,125
SD,instämde,59,59,0.2974,6.6995,186,29
SD,anmärkningsvärt,22,15,0.1109,6.4511,621,30
SD,komma,136,97,0.6854,0.8461,30,571
SD,förvisso,22,21,0.1109,6.4511,632,31
SD,haft,135,109,0.6804,1.4842,31,297
SD,saker,133,108,0.6703,1.6777,32,246
SD,övriga,111,84,0.5594,6.4469,50,32
SD,mitt,132,111,0.6653,1.9024,33,206
SD,tråkigt,21,19,0.1058,6.2942,704,33
SD,alldeles,129,109,0.6501,2.5028,34,138
SD,flyktingar,52,24,0.2621,5.8171,223,34
SD,ansvarsfull,34,25,0.1714,5.8151,402,35
SD,senaste,129,95,0.6501,2.0222,35,182
SD,fel,128,80,0.6451,1.4076,36,322
SD,massa,45,42,0.2268,5.5745,284,36
SD,samtidigt,125,99,0.63,1.3409,37,348
SD,tillfällen,29,25,0.1462,5.0959,486,37
SD,enskild,23,19,0.1159,5.0664,599,38
SD,viktigt,125,92,0.63,0.8728,38,556
SD,debatten,123,94,0.6199,1.5549,39,276
SD,rimligen,32,30,0.1613,4.9938,439,39
SD,kasta,25,24,0.126,4.891,554,40
SD,riktigt,122,108,0.6149,1.5957,40,264
SD,framför,121,90,0.6098,1.4484,41,308
SD,fullständigt,76,68,0.383,4.6966,123,41
SD,första,121,96,0.6098,1.129,42,432
SD,prioriteringar,34,24,0.1714,4.6805,409,42
SD,sannolikt,36,34,0.1814,4.5933,383,43
SD,vid,120,98,0.6048,0.9672,43,516
SD,aldrig,117,90,0.5897,1.1462,44,422
SD,kaos,21,17,0.1058,4.4292,676,44
SD,varje,117,92,0.5897,0.9187,45,533
SD,åtminstone,97,81,0.4889,4.3948,67,45
SD,björklunds,21,17,0.1058,4.3646,659,46
SD,ned,115,89,0.5796,0.8106,46,590
SD,isär,26,15,0.131,4.361,535,47
SD,trots,115,82,0.5796,1.6618,47,248
SD,intressen,50,40,0.252,4.295,238,48
SD,kammaren,113,89,0.5695,1.9966,48,186
SD,decennier,38,34,0.1915,4.1341,351,49
SD,sett,113,89,0.5695,1.379,49,329
SD,grova,29,20,0.1462,4.0818,476,50
