session,session_year,party,topic_id,topic_label,segments,words,word_share_pct
1993/94,1993,V,-1,Ej grupperade,76,5840,72.3489
1993/94,1993,V,18,eu / europa / europeiska,4,350,4.336
1993/94,1993,V,21,jobb / arbetslösheten / arbetsmarknaden,4,341,4.2245
1993/94,1993,V,3,flyktingar / migrationspolitik / invandring,4,283,3.5059
1993/94,1993,V,7,eu / utsläppen / utsläpp,4,272,3.3697
1993/94,1993,V,25,jobb / arbetslösheten / arbetsmarknaden,2,176,2.1804
1993/94,1993,V,22,ryssland / ukraina / ryska,2,164,2.0317
1993/94,1993,V,20,skatter / skatten / skatt,2,159,1.9698
1993/94,1993,V,16,partier / politiska / valet,1,93,1.1521
1993/94,1993,V,12,skolan / lärare / eleverna,1,91,1.1274
1993/94,1993,V,0,kvinnor / män / kvinnors,1,83,1.0282
1993/94,1993,V,9,kärnkraft / kärnkraften / el,1,79,0.9787
1993/94,1993,V,23,nato / försvaret / militära,1,76,0.9415
1993/94,1993,V,17,skatt / skatten / skatter,1,65,0.8053
1994/95,1994,V,-1,Ej grupperade,81,6491,69.7657
1994/95,1994,V,16,partier / politiska / valet,11,890,9.5658
1994/95,1994,V,20,skatter / skatten / skatt,6,479,5.1483
1994/95,1994,V,21,jobb / arbetslösheten / arbetsmarknaden,4,341,3.6651
1994/95,1994,V,25,jobb / arbetslösheten / arbetsmarknaden,4,274,2.945
1994/95,1994,V,8,skatteväxling / gröna / grön skatteväxling,3,238,2.558
1994/95,1994,V,9,kärnkraft / kärnkraften / el,2,150,1.6122
1994/95,1994,V,0,kvinnor / män / kvinnors,1,92,0.9888
1994/95,1994,V,10,barn / föräldrar / barnen,1,91,0.9781
1994/95,1994,V,17,skatt / skatten / skatter,1,90,0.9673
1994/95,1994,V,23,nato / försvaret / militära,1,84,0.9028
1994/95,1994,V,24,partier / ansvar / folket,1,84,0.9028
1995/96,1995,V,-1,Ej grupperade,124,9573,63.5109
1995/96,1995,V,16,partier / politiska / valet,15,1159,7.6892
1995/96,1995,V,21,jobb / arbetslösheten / arbetsmarknaden,14,1071,7.1054
1995/96,1995,V,0,kvinnor / män / kvinnors,8,671,4.4517
1995/96,1995,V,6,perssons / åt / talar,6,514,3.4101
1995/96,1995,V,18,eu / europa / europeiska,6,446,2.9589
1995/96,1995,V,20,skatter / skatten / skatt,5,428,2.8395
1995/96,1995,V,14,vården / vård / sjukvården,3,262,1.7382
1995/96,1995,V,25,jobb / arbetslösheten / arbetsmarknaden,2,177,1.1743
1995/96,1995,V,9,kärnkraft / kärnkraften / el,2,172,1.1411
1995/96,1995,V,3,flyktingar / migrationspolitik / invandring,2,170,1.1278
1995/96,1995,V,12,skolan / lärare / eleverna,2,167,1.1079
1995/96,1995,V,24,partier / ansvar / folket,1,90,0.5971
1995/96,1995,V,8,skatteväxling / gröna / grön skatteväxling,1,89,0.5905
1995/96,1995,V,10,barn / föräldrar / barnen,1,84,0.5573
1996/97,1996,V,-1,Ej grupperade,100,7983,74.7262
1996/97,1996,V,0,kvinnor / män / kvinnors,7,599,5.607
1996/97,1996,V,21,jobb / arbetslösheten / arbetsmarknaden,8,591,5.5322
1996/97,1996,V,6,perssons / åt / talar,5,399,3.7349
1996/97,1996,V,9,kärnkraft / kärnkraften / el,4,304,2.8456
1996/97,1996,V,15,äldre / äldreomsorgen / pensionärer,3,228,2.1342
1996/97,1996,V,16,partier / politiska / valet,2,184,1.7224
1996/97,1996,V,14,vården / vård / sjukvården,2,173,1.6194
1996/97,1996,V,18,eu / europa / europeiska,2,99,0.9267
1996/97,1996,V,25,jobb / arbetslösheten / arbetsmarknaden,1,80,0.7489
1996/97,1996,V,1,polisen / poliser / brott,1,43,0.4025
1997/98,1997,V,-1,Ej grupperade,80,6095,62.0041
1997/98,1997,V,0,kvinnor / män / kvinnors,11,970,9.8678
1997/98,1997,V,21,jobb / arbetslösheten / arbetsmarknaden,9,758,7.7111
1997/98,1997,V,16,partier / politiska / valet,6,477,4.8525
1997/98,1997,V,20,skatter / skatten / skatt,6,441,4.4863
1997/98,1997,V,15,äldre / äldreomsorgen / pensionärer,4,240,2.4415
1997/98,1997,V,12,skolan / lärare / eleverna,2,166,1.6887
1997/98,1997,V,9,kärnkraft / kärnkraften / el,2,163,1.6582
1997/98,1997,V,14,vården / vård / sjukvården,1,94,0.9563
1997/98,1997,V,6,perssons / åt / talar,1,93,0.9461
1997/98,1997,V,19,fn / afghanistan / usa,1,88,0.8952
1997/98,1997,V,18,eu / europa / europeiska,1,86,0.8749
1997/98,1997,V,23,nato / försvaret / militära,1,81,0.824
1997/98,1997,V,24,partier / ansvar / folket,1,78,0.7935
1998/99,1998,V,-1,Ej grupperade,97,7962,59.4401
1998/99,1998,V,16,partier / politiska / valet,21,1750,13.0646
1998/99,1998,V,18,eu / europa / europeiska,20,1620,12.0941
1998/99,1998,V,20,skatter / skatten / skatt,5,436,3.2549
1998/99,1998,V,6,perssons / åt / talar,5,378,2.8219
1998/99,1998,V,21,jobb / arbetslösheten / arbetsmarknaden,3,276,2.0605
1998/99,1998,V,0,kvinnor / män / kvinnors,4,274,2.0455
1998/99,1998,V,25,jobb / arbetslösheten / arbetsmarknaden,2,171,1.2766
1998/99,1998,V,23,nato / försvaret / militära,2,167,1.2467
1998/99,1998,V,24,partier / ansvar / folket,2,135,1.0078
1998/99,1998,V,10,barn / föräldrar / barnen,1,91,0.6794
1998/99,1998,V,17,skatt / skatten / skatter,1,79,0.5898
1998/99,1998,V,19,fn / afghanistan / usa,1,56,0.4181
1999/2000,1999,V,-1,Ej grupperade,70,5380,50.8795
1999/2000,1999,V,0,kvinnor / män / kvinnors,28,2211,20.9098
1999/2000,1999,V,16,partier / politiska / valet,18,1464,13.8453
1999/2000,1999,V,15,äldre / äldreomsorgen / pensionärer,4,348,3.2911
1999/2000,1999,V,12,skolan / lärare / eleverna,3,210,1.986
1999/2000,1999,V,21,jobb / arbetslösheten / arbetsmarknaden,3,175,1.655
1999/2000,1999,V,17,skatt / skatten / skatter,2,174,1.6455
1999/2000,1999,V,20,skatter / skatten / skatt,2,163,1.5415
1999/2000,1999,V,14,vården / vård / sjukvården,1,94,0.889
1999/2000,1999,V,24,partier / ansvar / folket,1,93,0.8795
1999/2000,1999,V,10,barn / föräldrar / barnen,1,88,0.8322
1999/2000,1999,V,18,eu / europa / europeiska,1,88,0.8322
1999/2000,1999,V,6,perssons / åt / talar,1,86,0.8133
2000/01,2000,V,-1,Ej grupperade,111,8445,56.0236
2000/01,2000,V,18,eu / europa / europeiska,24,1760,11.6757
2000/01,2000,V,0,kvinnor / män / kvinnors,20,1607,10.6607
2000/01,2000,V,21,jobb / arbetslösheten / arbetsmarknaden,11,907,6.017
2000/01,2000,V,23,nato / försvaret / militära,7,546,3.6221
2000/01,2000,V,16,partier / politiska / valet,8,539,3.5757
2000/01,2000,V,3,flyktingar / migrationspolitik / invandring,4,335,2.2224
2000/01,2000,V,20,skatter / skatten / skatt,3,241,1.5988
2000/01,2000,V,10,barn / föräldrar / barnen,2,185,1.2273
2000/01,2000,V,6,perssons / åt / talar,2,171,1.1344
2000/01,2000,V,14,vården / vård / sjukvården,2,161,1.0681
2000/01,2000,V,15,äldre / äldreomsorgen / pensionärer,1,89,0.5904
2000/01,2000,V,24,partier / ansvar / folket,1,59,0.3914
2000/01,2000,V,19,fn / afghanistan / usa,1,29,0.1924
2001/02,2001,V,-1,Ej grupperade,77,5936,54.6392
2001/02,2001,V,19,fn / afghanistan / usa,26,1871,17.222
2001/02,2001,V,0,kvinnor / män / kvinnors,20,1505,13.8531
2001/02,2001,V,16,partier / politiska / valet,5,372,3.4242
2001/02,2001,V,3,flyktingar / migrationspolitik / invandring,3,262,2.4116
2001/02,2001,V,20,skatter / skatten / skatt,3,206,1.8962
2001/02,2001,V,21,jobb / arbetslösheten / arbetsmarknaden,2,185,1.7029
2001/02,2001,V,18,eu / europa / europeiska,2,138,1.2703
2001/02,2001,V,23,nato / försvaret / militära,2,137,1.261
2001/02,2001,V,25,jobb / arbetslösheten / arbetsmarknaden,1,96,0.8837
2001/02,2001,V,6,perssons / åt / talar,1,90,0.8284
2001/02,2001,V,10,barn / föräldrar / barnen,1,66,0.6075
2002/03,2002,V,-1,Ej grupperade,75,6121,54.6762
2002/03,2002,V,0,kvinnor / män / kvinnors,19,1513,13.515
2002/03,2002,V,19,fn / afghanistan / usa,15,1236,11.0406
2002/03,2002,V,16,partier / politiska / valet,6,420,3.7517
2002/03,2002,V,11,euron / valuta / europa,5,416,3.7159
2002/03,2002,V,18,eu / europa / europeiska,4,276,2.4654
2002/03,2002,V,25,jobb / arbetslösheten / arbetsmarknaden,2,181,1.6168
2002/03,2002,V,9,kärnkraft / kärnkraften / el,2,175,1.5632
2002/03,2002,V,21,jobb / arbetslösheten / arbetsmarknaden,2,167,1.4917
2002/03,2002,V,3,flyktingar / migrationspolitik / invandring,2,163,1.456
2002/03,2002,V,6,perssons / åt / talar,2,115,1.0272
2002/03,2002,V,7,eu / utsläppen / utsläpp,1,98,0.8754
2002/03,2002,V,20,skatter / skatten / skatt,1,91,0.8129
2002/03,2002,V,12,skolan / lärare / eleverna,1,89,0.795
2002/03,2002,V,10,barn / föräldrar / barnen,1,82,0.7325
2002/03,2002,V,24,partier / ansvar / folket,1,52,0.4645
2003/04,2003,V,-1,Ej grupperade,65,5052,54.8713
2003/04,2003,V,0,kvinnor / män / kvinnors,16,1098,11.9257
2003/04,2003,V,19,fn / afghanistan / usa,8,630,6.8426
2003/04,2003,V,21,jobb / arbetslösheten / arbetsmarknaden,8,561,6.0932
2003/04,2003,V,18,eu / europa / europeiska,5,336,3.6494
2003/04,2003,V,3,flyktingar / migrationspolitik / invandring,4,329,3.5734
2003/04,2003,V,10,barn / föräldrar / barnen,3,268,2.9108
2003/04,2003,V,20,skatter / skatten / skatt,4,265,2.8782
2003/04,2003,V,16,partier / politiska / valet,4,246,2.6719
2003/04,2003,V,14,vården / vård / sjukvården,3,186,2.0202
2003/04,2003,V,24,partier / ansvar / folket,2,110,1.1947
2003/04,2003,V,6,perssons / åt / talar,1,79,0.858
2003/04,2003,V,17,skatt / skatten / skatter,1,47,0.5105
2004/05,2004,V,-1,Ej grupperade,97,6969,56.2197
2004/05,2004,V,18,eu / europa / europeiska,22,1789,14.4321
2004/05,2004,V,16,partier / politiska / valet,14,988,7.9703
2004/05,2004,V,8,skatteväxling / gröna / grön skatteväxling,7,534,4.3078
2004/05,2004,V,0,kvinnor / män / kvinnors,6,409,3.2995
2004/05,2004,V,21,jobb / arbetslösheten / arbetsmarknaden,5,386,3.1139
2004/05,2004,V,25,jobb / arbetslösheten / arbetsmarknaden,4,306,2.4685
2004/05,2004,V,9,kärnkraft / kärnkraften / el,4,265,2.1378
2004/05,2004,V,20,skatter / skatten / skatt,3,188,1.5166
2004/05,2004,V,19,fn / afghanistan / usa,3,183,1.4763
2004/05,2004,V,1,polisen / poliser / brott,1,83,0.6696
2004/05,2004,V,7,eu / utsläppen / utsläpp,1,82,0.6615
2004/05,2004,V,2,bostäder / marknadshyror / hyresrätter,1,81,0.6534
2004/05,2004,V,11,euron / valuta / europa,1,73,0.5889
2004/05,2004,V,23,nato / försvaret / militära,1,60,0.484
2005/06,2005,V,-1,Ej grupperade,102,7255,71.3373
2005/06,2005,V,0,kvinnor / män / kvinnors,10,638,6.2734
2005/06,2005,V,2,bostäder / marknadshyror / hyresrätter,5,397,3.9036
2005/06,2005,V,14,vården / vård / sjukvården,5,341,3.353
2005/06,2005,V,15,äldre / äldreomsorgen / pensionärer,3,246,2.4189
2005/06,2005,V,16,partier / politiska / valet,4,210,2.0649
2005/06,2005,V,21,jobb / arbetslösheten / arbetsmarknaden,3,200,1.9666
2005/06,2005,V,25,jobb / arbetslösheten / arbetsmarknaden,2,165,1.6224
2005/06,2005,V,6,perssons / åt / talar,2,160,1.5733
2005/06,2005,V,12,skolan / lärare / eleverna,1,89,0.8751
2005/06,2005,V,19,fn / afghanistan / usa,1,85,0.8358
2005/06,2005,V,20,skatter / skatten / skatt,1,84,0.826
2005/06,2005,V,1,polisen / poliser / brott,1,82,0.8063
2005/06,2005,V,18,eu / europa / europeiska,1,80,0.7866
2005/06,2005,V,4,järnväg / järnvägen / stockholm,1,78,0.767
2005/06,2005,V,10,barn / föräldrar / barnen,1,60,0.59
2006/07,2006,V,-1,Ej grupperade,77,5394,42.2661
2006/07,2006,V,0,kvinnor / män / kvinnors,28,2294,17.9752
2006/07,2006,V,21,jobb / arbetslösheten / arbetsmarknaden,16,1220,9.5596
2006/07,2006,V,1,polisen / poliser / brott,7,518,4.0589
2006/07,2006,V,7,eu / utsläppen / utsläpp,5,427,3.3459
2006/07,2006,V,2,bostäder / marknadshyror / hyresrätter,4,342,2.6798
2006/07,2006,V,25,jobb / arbetslösheten / arbetsmarknaden,4,342,2.6798
2006/07,2006,V,18,eu / europa / europeiska,4,294,2.3037
2006/07,2006,V,10,barn / föräldrar / barnen,3,268,2.1
2006/07,2006,V,17,skatt / skatten / skatter,3,257,2.0138
2006/07,2006,V,20,skatter / skatten / skatt,3,233,1.8257
2006/07,2006,V,16,partier / politiska / valet,3,207,1.622
2006/07,2006,V,8,skatteväxling / gröna / grön skatteväxling,2,172,1.3478
