party,word,occurrences,speeches_with_word,per_1000_words,frequency_ratio,common_rank,distinctive_rank
V,går,759,461,1.8701,1.2548,1,586
V,högavlönade,23,22,0.0567,98.4986,1217,1
V,kvinnor,538,217,1.3256,3.1161,2,120
V,riskkapitalbolagen,52,38,0.1281,38.8324,560,2
V,pengar,473,295,1.1654,1.8439,3,285
V,vinstintresset,87,53,0.2144,37.9397,296,3
V,varför,417,271,1.0274,1.387,4,479
V,vinstintresse,35,25,0.0862,29.7591,808,4
V,utförsäljningar,23,18,0.0567,22.7304,1238,5
V,välfärden,402,217,0.9905,2.2306,5,202
V,innebär,391,252,0.9634,2.2489,6,199
V,riskkapitalbolag,61,42,0.1503,20.9005,460,6
V,ned,377,273,0.9289,1.3803,7,481
V,underordning,21,14,0.0517,20.7959,1343,7
V,privatiseringar,56,46,0.138,20.2985,507,8
V,stället,376,261,0.9264,1.4429,8,455
V,hyrorna,35,23,0.0862,17.8555,791,9
V,inom,371,198,0.9141,1.303,9,548
V,bostadsbristen,24,21,0.0591,16.2142,1168,10
V,tar,369,265,0.9092,1.093,10,723
V,jobb,350,199,0.8624,0.5635,11,1328
V,vinsterna,39,30,0.0961,15.051,727,11
V,förslag,338,222,0.8328,1.0461,12,778
V,hyresgäster,21,14,0.0517,14.2288,1320,12
V,lågavlönade,39,33,0.0961,14.191,718,13
V,någonting,338,238,0.8328,1.4443,13,454
V,orättvisorna,27,25,0.0665,13.8317,1077,14
V,rätt,337,233,0.8303,0.9682,14,873
V,barn,324,173,0.7983,1.1556,15,669
V,sjukpenning,25,18,0.0616,12.8258,1147,15
V,bort,312,219,0.7687,1.202,16,628
V,hyror,33,26,0.0813,12.7648,848,16
V,fått,305,201,0.7515,1.2412,17,600
V,privatisera,26,24,0.0641,12.3414,1109,17
V,elmarknaden,24,21,0.0591,12.3228,1169,18
V,olika,302,216,0.7441,1.0563,18,765
V,kronor,301,182,0.7416,1.6534,19,350
V,skatteparadis,23,21,0.0567,11.8198,1232,19
V,arbete,298,189,0.7342,1.0446,20,780
V,otrygga,59,48,0.1454,11.5103,477,20
V,nej,294,196,0.7244,1.2431,21,595
V,pensionsåldern,20,16,0.0493,10.3109,1386,21
V,jämlika,30,25,0.0739,9.8337,950,22
V,lite,293,217,0.7219,0.8629,22,1004
V,annat,290,239,0.7145,0.8311,23,1048
V,hyra,30,24,0.0739,9.354,945,23
V,marknadshyror,52,31,0.1281,8.802,557,24
V,politiska,282,158,0.6948,1.6561,24,349
V,avregleringar,25,20,0.0616,8.6661,1130,25
V,skolan,268,160,0.6603,0.8205,25,1064
V,arbetsdag,28,23,0.069,7.9637,1014,26
V,beslut,264,159,0.6505,1.4736,26,431
V,bankerna,37,26,0.0912,7.7301,746,27
V,samhället,257,174,0.6332,1.4792,27,427
V,anställningstryggheten,25,19,0.0616,7.4568,1125,28
V,ekonomiska,256,172,0.6308,1.5178,28,408
V,sveriges,254,195,0.6258,0.8199,29,1067
V,vänsterpolitik,25,22,0.0616,7.4568,1157,29
V,miljarder,253,156,0.6234,1.0084,30,826
V,männen,34,26,0.0838,7.1117,827,30
V,komma,252,202,0.6209,0.7462,31,1157
V,vinster,118,78,0.2907,6.6819,185,31
V,elpriser,47,30,0.1158,6.2871,612,32
V,problem,252,182,0.6209,0.8931,32,966
V,turkiet,60,36,0.1478,6.2871,469,33
V,vid,249,201,0.6135,0.9783,33,862
V,bygga,248,180,0.611,1.2211,34,619
V,skillnaderna,42,35,0.1035,6.1426,683,34
V,mediciner,28,17,0.069,6.074,1029,35
V,män,246,137,0.6061,4.1605,35,74
V,fattig,22,20,0.0542,6.0196,1256,36
V,min,244,206,0.6012,0.8837,36,975
V,anställningar,43,38,0.1059,6.0108,662,37
V,överens,244,175,0.6012,1.7598,37,311
V,företag,239,160,0.5889,0.8382,38,1035
V,orättvisor,36,31,0.0887,5.9605,778,38
V,betala,238,177,0.5864,2.3411,39,186
V,solidariteten,34,19,0.0838,5.9426,833,39
V,rikaste,88,68,0.2168,5.8263,289,40
V,samtidigt,236,180,0.5815,1.249,40,589
V,skattesystem,21,15,0.0517,5.7521,1336,41
V,viktigt,236,182,0.5815,0.7873,41,1109
V,högerpolitik,30,26,0.0739,5.7241,946,42
V,privata,229,141,0.5642,3.8736,42,83
V,arbetar,228,159,0.5618,2.9713,43,133
V,arbeten,48,40,0.1183,5.6996,598,43
V,fackföreningsrörelsen,22,19,0.0542,5.5475,1253,44
V,ökar,225,150,0.5544,1.5939,44,373
V,ansvar,224,158,0.5519,0.6975,45,1218
V,behoven,46,31,0.1133,5.3643,620,45
V,aldrig,220,166,0.5421,1.0483,46,775
V,sjukersättning,21,15,0.0517,5.3009,1335,46
V,jämlikt,26,20,0.0641,5.2892,1102,47
V,samhälle,220,132,0.5421,1.2361,47,606
V,ingen,219,172,0.5396,0.7394,48,1164
V,priserna,59,44,0.1454,5.232,478,48
V,undersköterskor,49,42,0.1207,5.2305,596,49
V,varje,219,160,0.5396,0.8232,49,1062
V,skattepengar,83,66,0.2045,5.2236,313,50
V,stor,218,183,0.5371,1.0491,50,773
