session,session_year,party,topic_id,topic_label,segments,words,word_share_pct
2004/05,2004,C,-1,Ej grupperade,114,9406,64.4467
2004/05,2004,C,18,eu / europa / europeiska,25,2117,14.505
2004/05,2004,C,25,jobb / arbetslösheten / arbetsmarknaden,6,487,3.3368
2004/05,2004,C,9,kärnkraft / kärnkraften / el,5,429,2.9394
2004/05,2004,C,7,eu / utsläppen / utsläpp,4,359,2.4597
2004/05,2004,C,21,jobb / arbetslösheten / arbetsmarknaden,3,278,1.9048
2004/05,2004,C,12,skolan / lärare / eleverna,3,268,1.8362
2004/05,2004,C,24,partier / ansvar / folket,4,240,1.6444
2004/05,2004,C,14,vården / vård / sjukvården,2,183,1.2539
2004/05,2004,C,0,kvinnor / män / kvinnors,2,183,1.2539
2004/05,2004,C,1,polisen / poliser / brott,2,181,1.2402
2004/05,2004,C,20,skatter / skatten / skatt,2,106,0.7263
2004/05,2004,C,11,euron / valuta / europa,1,93,0.6372
2004/05,2004,C,23,nato / försvaret / militära,1,82,0.5618
2004/05,2004,C,6,perssons / åt / talar,1,81,0.555
2004/05,2004,C,15,äldre / äldreomsorgen / pensionärer,1,81,0.555
2004/05,2004,C,8,skatteväxling / gröna / grön skatteväxling,1,21,0.1439
2004/05,2004,KD,-1,Ej grupperade,79,6111,53.7278
2004/05,2004,KD,18,eu / europa / europeiska,19,1541,13.5484
2004/05,2004,KD,1,polisen / poliser / brott,8,666,5.8555
2004/05,2004,KD,10,barn / föräldrar / barnen,8,660,5.8027
2004/05,2004,KD,24,partier / ansvar / folket,7,554,4.8708
2004/05,2004,KD,16,partier / politiska / valet,6,394,3.464
2004/05,2004,KD,14,vården / vård / sjukvården,4,325,2.8574
2004/05,2004,KD,9,kärnkraft / kärnkraften / el,4,318,2.7959
2004/05,2004,KD,15,äldre / äldreomsorgen / pensionärer,3,255,2.242
2004/05,2004,KD,23,nato / försvaret / militära,2,169,1.4858
2004/05,2004,KD,25,jobb / arbetslösheten / arbetsmarknaden,2,164,1.4419
2004/05,2004,KD,7,eu / utsläppen / utsläpp,1,89,0.7825
2004/05,2004,KD,21,jobb / arbetslösheten / arbetsmarknaden,1,69,0.6066
2004/05,2004,KD,3,flyktingar / migrationspolitik / invandring,1,59,0.5187
2004/05,2004,L,-1,Ej grupperade,86,6737,61.1454
2004/05,2004,L,18,eu / europa / europeiska,11,961,8.7221
2004/05,2004,L,13,skolan / skola / elever,6,504,4.5743
2004/05,2004,L,15,äldre / äldreomsorgen / pensionärer,6,478,4.3384
2004/05,2004,L,6,perssons / åt / talar,6,440,3.9935
2004/05,2004,L,14,vården / vård / sjukvården,5,426,3.8664
2004/05,2004,L,25,jobb / arbetslösheten / arbetsmarknaden,5,420,3.8119
2004/05,2004,L,16,partier / politiska / valet,6,393,3.5669
2004/05,2004,L,9,kärnkraft / kärnkraften / el,3,236,2.1419
2004/05,2004,L,24,partier / ansvar / folket,3,179,1.6246
2004/05,2004,L,21,jobb / arbetslösheten / arbetsmarknaden,2,160,1.4522
2004/05,2004,L,7,eu / utsläppen / utsläpp,1,84,0.7624
2004/05,2004,M,-1,Ej grupperade,106,8507,59.7024
2004/05,2004,M,18,eu / europa / europeiska,14,1262,8.8568
2004/05,2004,M,6,perssons / åt / talar,13,904,6.3443
2004/05,2004,M,13,skolan / skola / elever,8,751,5.2705
2004/05,2004,M,24,partier / ansvar / folket,8,619,4.3442
2004/05,2004,M,16,partier / politiska / valet,5,434,3.0458
2004/05,2004,M,12,skolan / lärare / eleverna,4,364,2.5546
2004/05,2004,M,15,äldre / äldreomsorgen / pensionärer,4,350,2.4563
2004/05,2004,M,25,jobb / arbetslösheten / arbetsmarknaden,3,274,1.9229
2004/05,2004,M,21,jobb / arbetslösheten / arbetsmarknaden,2,182,1.2773
2004/05,2004,M,17,skatt / skatten / skatter,2,175,1.2282
2004/05,2004,M,20,skatter / skatten / skatt,2,172,1.2071
2004/05,2004,M,14,vården / vård / sjukvården,1,88,0.6176
2004/05,2004,M,23,nato / försvaret / militära,1,84,0.5895
2004/05,2004,M,7,eu / utsläppen / utsläpp,1,83,0.5825
2004/05,2004,MP,-1,Ej grupperade,86,6888,58.3679
2004/05,2004,MP,18,eu / europa / europeiska,12,1020,8.6433
2004/05,2004,MP,9,kärnkraft / kärnkraften / el,10,773,6.5503
2004/05,2004,MP,7,eu / utsläppen / utsläpp,5,451,3.8217
2004/05,2004,MP,23,nato / försvaret / militära,5,382,3.237
2004/05,2004,MP,16,partier / politiska / valet,4,336,2.8472
2004/05,2004,MP,3,flyktingar / migrationspolitik / invandring,4,334,2.8303
2004/05,2004,MP,8,skatteväxling / gröna / grön skatteväxling,5,333,2.8218
2004/05,2004,MP,21,jobb / arbetslösheten / arbetsmarknaden,4,290,2.4574
2004/05,2004,MP,6,perssons / åt / talar,2,180,1.5253
2004/05,2004,MP,20,skatter / skatten / skatt,2,169,1.4321
2004/05,2004,MP,11,euron / valuta / europa,2,169,1.4321
2004/05,2004,MP,4,järnväg / järnvägen / stockholm,2,121,1.0253
2004/05,2004,MP,10,barn / föräldrar / barnen,1,95,0.805
2004/05,2004,MP,25,jobb / arbetslösheten / arbetsmarknaden,1,91,0.7711
2004/05,2004,MP,14,vården / vård / sjukvården,1,86,0.7288
2004/05,2004,MP,2,bostäder / marknadshyror / hyresrätter,1,83,0.7033
2004/05,2004,S,-1,Ej grupperade,166,12707,69.742
2004/05,2004,S,18,eu / europa / europeiska,21,1757,9.6432
2004/05,2004,S,16,partier / politiska / valet,11,657,3.6059
2004/05,2004,S,15,äldre / äldreomsorgen / pensionärer,8,529,2.9034
2004/05,2004,S,24,partier / ansvar / folket,7,518,2.843
2004/05,2004,S,21,jobb / arbetslösheten / arbetsmarknaden,6,437,2.3985
2004/05,2004,S,25,jobb / arbetslösheten / arbetsmarknaden,3,240,1.3172
2004/05,2004,S,8,skatteväxling / gröna / grön skatteväxling,3,239,1.3117
2004/05,2004,S,0,kvinnor / män / kvinnors,2,176,0.966
