speaker,party,speeches,words,first_speech_date,last_speech_date
Jimmie Åkesson,SD,787,181467,2010-11-03,2026-06-10
Göran Persson,S,423,174499,1996-03-27,2006-06-15
Fredrik Reinfeldt,M,423,156900,2004-01-21,2014-10-08
Jan Björklund,L,509,142719,2007-10-17,2019-06-12
Jonas Sjöstedt,V,562,133233,2012-01-18,2020-09-09
Lars Leijonborg,L,276,116317,1995-06-15,2007-06-13
Annie Lööf,C,481,113814,2011-10-12,2023-01-18
Maud Olofsson,C,265,108831,2002-11-06,2011-06-15
Göran Hägglund,KD,313,107346,2004-05-25,2015-01-14
Stefan Löfven,S,480,105387,2014-10-08,2021-09-15
Gudrun Schyman,V,227,101769,1993-10-06,2003-01-22
Alf Svensson,KD,154,98938,1993-10-06,2004-01-21
Lars Ohly,V,305,96318,2001-01-17,2011-10-12
Ulf Kristersson,M,417,91161,2017-10-11,2026-06-10
Gustav Fridolin,MP,232,60212,2011-06-15,2019-01-30
Mona Sahlin,S,219,58708,2007-06-13,2011-01-19
Peter Eriksson,MP,189,58605,2002-11-06,2010-11-03
Johan Pehrson,L,268,58595,2001-01-17,2025-06-11
Ebba Busch,KD,278,57073,2020-06-10,2026-06-10
Magdalena Andersson,S,303,55207,2022-01-12,2026-06-10
Nooshi Dadgostar,V,281,52863,2021-01-13,2026-06-10
Bo Lundgren,M,131,49582,1999-10-13,2003-10-15
Birger Schlaug,MP,88,48425,1994-10-12,2000-01-19
Åsa Romson,MP,161,47929,2011-10-12,2016-01-13
Maria Wetterstrand,MP,136,46188,2002-06-14,2011-01-19
Olof Johansson,C,91,46063,1993-10-06,1998-06-10
Mikael Damberg,S,142,44497,2012-06-13,2014-06-18
Ingvar Carlsson,S,70,37616,1993-10-06,1996-01-24
Lars Tobisson,M,80,35300,1995-06-15,2001-01-17
Isabella Lövin,MP,168,33092,2016-10-12,2021-01-13
Carl Bildt,M,52,29870,1993-10-06,1999-01-20
Anna Kinberg Batra,M,123,28761,2015-01-14,2017-06-14
Lennart Daléus,C,58,26320,1998-10-29,2001-01-17
Muharrem Demirok,C,121,22797,2023-06-14,2025-01-15
Per Bolund,MP,88,21689,2019-06-12,2023-11-15
Andreas Carlson,KD,95,20978,2015-10-14,2018-06-13
Marianne Samuelsson,MP,42,17220,1995-10-04,2001-01-17
Matz Hammarström,MP,54,16753,2000-06-15,2001-10-17
Ebba Busch Thor,KD,91,16695,2019-01-30,2020-01-15
Håkan Juholt,S,55,16335,2011-06-15,2012-01-18
Lena Ek,C,30,13898,2001-06-11,2002-06-14
Anders W Jonsson,C,58,13859,2015-10-14,2020-06-10
Bengt Westerberg,L,18,13379,1993-10-06,1994-12-21
Daniel Helldén,MP,68,12397,2024-01-17,2026-06-10
Amanda Lind,MP,50,10614,2024-05-22,2026-01-14
Märta Stenevi,MP,43,9860,2021-09-15,2023-09-13
Göran Persson I Stjärnhov,S,30,9317,2006-10-11,2007-01-17
Rickard Nordin,C,39,7898,2025-06-11,2025-11-12
Simona Mohamsson,L,46,6745,2025-09-10,2026-06-10
Elisabeth Thand Ringqvist,C,36,6418,2026-01-14,2026-06-10
Ingrid Burman,V,17,6234,2003-10-15,2004-01-21
Johan Lönnroth,V,8,5563,1994-12-21,1997-10-08
Mattias Karlsson,SD,22,5201,2015-01-14,2015-01-14
Alice Åström,V,19,4948,2007-06-13,2007-06-13
Mats Odell,KD,16,4767,1999-06-02,2001-01-17
Björn Söder,SD,17,4588,2014-01-15,2014-01-15
Harriet Colliander,NYD,8,4498,1994-06-11,1994-06-11
Ian Wachtmeister,NYD,3,4199,1993-10-06,1993-10-06
Ulla Hoffmann,V,12,3732,2003-06-13,2003-06-13
Jakob Forssmed,KD,9,3203,2015-06-10,2015-06-10
Anna Lindh,S,16,3120,2001-01-17,2001-01-17
Lotta N Hedström,MP,9,3078,2002-01-16,2002-01-16
Eva Eriksson,L,10,3077,1996-10-09,1996-10-09
Carl Fredrik Graf,M,15,2814,2001-01-17,2001-01-17
Martin Kinnunen,SD,13,2677,2023-11-15,2023-11-15
Roger Tiefensee,C,9,2583,2009-10-14,2009-10-14
Oscar Sjöstedt,SD,12,2292,2023-06-14,2023-06-14
Henrik Vinge,SD,12,2193,2025-11-12,2025-11-12
Arne Kjörnsberg,S,10,2127,2001-01-17,2001-01-17
Karl-Göran Biörsmark,L,10,2034,2001-01-17,2001-01-17
Carl Erik Hedlund,M,7,1964,2001-01-17,2001-01-17
Camilla Brodin,KD,10,1951,2024-11-13,2024-11-13
Berndt Ekholm,S,5,1840,2001-01-17,2001-01-17
Per Erik Granström,S,10,1804,2001-01-17,2001-01-17
Bo Könberg,L,5,1796,2001-01-17,2001-01-17
Catharina Hagen,M,11,1688,2001-01-17,2001-01-17
Ronny Olander,S,5,1584,2001-01-17,2001-01-17
Lena Sandlin-Hedman,S,5,1423,2001-01-17,2001-01-17
Leif Jakobsson,S,5,1418,2001-01-17,2001-01-17
Roy Hansson,M,1,1363,2001-01-17,2001-01-17
Carina Ohlsson,S,3,1329,2001-01-17,2001-01-17
Ulf Björklund,KD,3,1303,2001-01-17,2001-01-17
Harald Nordlund,L,5,1238,2001-01-17,2001-01-17
Willy Söderdahl,V,3,1202,2001-01-17,2001-01-17
Liselotte Wågö,M,3,1190,2001-01-17,2001-01-17
Siw Wittgren-Ahl,S,5,1189,2001-01-17,2001-01-17
Lennart Axelsson,S,5,1185,2001-01-17,2001-01-17
Margareta Andersson,C,2,1113,2001-01-17,2001-01-17
Bengt-Ola Ryttar,S,5,1112,2001-01-17,2001-01-17
Margareta Viklund,KD,1,1110,2001-01-17,2001-01-17
Åsa Torstensson,C,3,1074,2001-01-17,2001-01-17
Lennart Fridén,M,1,1061,2001-01-17,2001-01-17
