session,party,decision_points,party_yes,party_no,party_abstain,member_yes,member_no,member_abstain,member_absent
2024/25,C,649,337,153,159,6799,3096,3201,2480
2024/25,KD,649,644,4,1,10114,58,17,2142
2024/25,L,649,645,3,1,8331,36,14,2003
2024/25,M,649,645,3,1,37967,175,62,5928
2024/25,MP,649,238,218,193,3491,3227,2855,2109
2024/25,S,649,317,235,97,29002,21605,8938,9249
2024/25,SD,649,477,100,72,29679,6216,4460,6373
2024/25,V,649,278,224,147,5498,4435,2894,2749
2025/26,C,787,374,263,150,7908,5618,3100,2262
2025/26,KD,787,786,1,0,13283,14,1,1655
2025/26,L,787,787,0,0,10746,0,0,1846
2025/26,M,787,787,0,0,47495,1,2,5238
2025/26,MP,787,227,372,188,3540,6012,2896,1718
2025/26,S,787,346,333,108,33338,32074,10019,7991
2025/26,SD,787,774,10,3,49164,622,178,5556
2025/26,V,787,229,400,158,4179,7538,2916,2420
