expenditure_area,keyword
1,demokrati
1,förvaltning
2,finansmarknad
2,myndigheter
3,skatt
3,tull
4,polis
4,kriminalvård
4,rättsväsende
5,utrikespolitik
5,diplomati
6,försvar
6,beredskap
6,ukraina
7,bistånd
7,utvecklingsbistånd
8,migration
8,asyl
8,invandring
9,sjukvård
9,vård
9,tandvård
10,sjukförsäkring
10,funktionsnedsättning
10,sjukpenning
11,pension
11,pensionärer
12,barnbidrag
12,bostadsbidrag
12,familjepolitik
13,integration
13,etablering
13,nyanlända
14,arbetsmarknad
14,arbetslöshet
14,a-kassa
15,studiemedel
15,studiebidrag
16,skola
16,utbildning
16,universitet
17,kultur
17,idrott
17,medier
18,bostäder
18,byggande
18,bostadspolitik
19,regionalpolitik
19,landsbygd
20,klimat
20,miljö
20,natur
21,energi
21,elproduktion
21,kärnkraft
22,järnväg
22,transport
22,infrastruktur
23,jordbruk
23,skogsbruk
23,livsmedel
24,företag
24,näringsliv
24,innovation
25,kommuner
25,statsbidrag
25,välfärd
26,statsskuld
26,räntor
27,eu-avgift
27,euavgift
